"Game Title","User Rating","Age Group Targeted",Price,Platform,"Requires Special Device",Developer,Publisher,"Release Year",Genre,Multiplayer,"Game Length (Hours)","Graphics Quality","Soundtrack Quality","Story Quality","User Review Text","Game Mode","Min Number of Players"
Tetris,30.7,Teens,42.12,Xbox,No,"Epic Games",Valve,2010,Action,Yes,35.4,High,Average,Poor,"Great game, but too many bugs.",Offline,10
"Bioshock Infinite",36.3,"All Ages",39.74,PlayStation,Yes,"CD Projekt Red",Activision,2022,Puzzle,Yes,54,Ultra,Good,Average,"Great game, but too many bugs.",Online,7
Tetris,30.7,Teens,48.62,PC,No,"EA Sports",Capcom,2022,Sports,Yes,22.8,Low,Poor,Good,"Solid game, but too many bugs.",Online,4
"Kingdom Hearts III",16,Adults,22.17,PC,Yes,Nintendo,Capcom,2020,RPG,No,21.7,Low,Excellent,Excellent,"Great game, but the graphics could be better.",Online,1
"Kingdom Hearts III",35.1,"All Ages",38.85,"Nintendo Switch",No,"Rockstar Games",Activision,2010,Action,No,50.6,High,Excellent,Good,"Solid game, but the gameplay is amazing.",Offline,5
"Fall Guys",30,"All Ages",38.98,PC,Yes,"CD Projekt Red",Nintendo,2021,Adventure,No,39.1,Low,Good,Good,"Amazing game, but the gameplay is amazing.",Offline,7
"The Sims 4",40.3,"All Ages",45.69,"Nintendo Switch",No,Nintendo,Valve,2016,Shooter,Yes,59.7,Low,Poor,Poor,"Solid game, but the graphics could be better.",Offline,8
"The Legend of Zelda: Breath of the Wild",33.5,Adults,56.12,PlayStation,Yes,Innersloth,"Epic Games",2020,Puzzle,No,18.6,Ultra,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Offline,1
"Hitman 3",28,"All Ages",34.74,Xbox,Yes,Valve,"Square Enix",2020,RPG,Yes,30.5,Low,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Online,6
"The Elder Scrolls V: Skyrim",31.3,Adults,29.66,PlayStation,Yes,Bungie,"Take-Two Interactive",2018,Strategy,No,52.9,Medium,Good,Poor,"Solid game, but the graphics could be better.",Offline,10
"The Legend of Zelda: Breath of the Wild",27.8,Kids,37.79,Mobile,Yes,Nintendo,Innersloth,2016,Party,No,30.4,Ultra,Poor,Good,"Disappointing game, but too many bugs.",Offline,10
"Overwatch 2",25.6,Kids,37.51,Mobile,Yes,"Rockstar Games","Electronic Arts",2012,Action,No,17,Ultra,Excellent,Excellent,"Great game, but the graphics could be better.",Online,6
Minecraft,36.9,Teens,56.08,PC,Yes,"EA Sports",Nintendo,2017,Sports,Yes,35.2,Ultra,Excellent,Poor,"Disappointing game, but the gameplay is amazing.",Online,7
"Red Dead Redemption 2",28,Kids,24.55,Mobile,No,Valve,"Electronic Arts",2017,Action,No,47.4,Low,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Offline,8
"Ghost of Tsushima",37.3,Adults,45.98,PC,No,"EA Sports",Capcom,2017,Shooter,No,53.1,Low,Good,Poor,"Disappointing game, but too many bugs.",Online,6
"Super Smash Bros. Ultimate",25.3,Teens,33.65,PlayStation,No,Valve,"Take-Two Interactive",2014,Fighting,Yes,34.2,High,Poor,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,4
"Counter-Strike: Global Offensive",23.8,"All Ages",33.87,"Nintendo Switch",Yes,Valve,"Epic Games",2021,Shooter,No,24.4,Ultra,Excellent,Excellent,"Amazing game, but too many bugs.",Online,5
"Grand Theft Auto V",43.4,Kids,55.11,Xbox,No,Innersloth,Capcom,2014,Strategy,No,51.9,Ultra,Average,Excellent,"Solid game, but too many bugs.",Online,10
"Street Fighter V",23.3,Teens,23.11,Xbox,No,"EA Sports","Square Enix",2013,Simulation,Yes,40,Medium,Good,Average,"Solid game, but the graphics could be better.",Online,6
"PokÃ©mon Scarlet & Violet",31.7,Adults,54.05,PlayStation,No,Bungie,Capcom,2014,Strategy,Yes,13.6,Low,Average,Average,"Amazing game, but the gameplay is amazing.",Online,7
"Mario Kart 8 Deluxe",40.8,Teens,53.73,PlayStation,No,Nintendo,Innersloth,2023,Strategy,No,48.1,High,Good,Poor,"Amazing game, but the graphics could be better.",Offline,7
"The Elder Scrolls V: Skyrim",39.5,"All Ages",52.47,PlayStation,No,Nintendo,"Epic Games",2017,Sports,No,44.3,Low,Poor,Excellent,"Solid game, but the graphics could be better.",Offline,4
Minecraft,32.1,Kids,31.6,PlayStation,Yes,"Epic Games",Nintendo,2016,Shooter,No,58.4,Low,Good,Excellent,"Disappointing game, but the graphics could be better.",Offline,5
"Kingdom Hearts III",37.6,Adults,59.92,PC,No,"Epic Games",Nintendo,2019,Puzzle,No,31.6,Ultra,Poor,Average,"Amazing game, but too many bugs.",Online,8
"Fall Guys",17.3,Kids,20.91,Mobile,No,Innersloth,Innersloth,2021,Fighting,No,21.4,Low,Excellent,Average,"Solid game, but too many bugs.",Online,5
"Sid Meierâ€™s Civilization VI",30.4,Teens,47.95,Mobile,No,Bungie,Valve,2021,Sports,Yes,22.9,Ultra,Poor,Poor,"Great game, but the gameplay is amazing.",Offline,7
"Kingdom Hearts III",25.6,Adults,43.48,Xbox,Yes,Valve,Activision,2019,Strategy,No,13.1,Low,Good,Excellent,"Solid game, but the graphics could be better.",Online,1
"Red Dead Redemption 2",33.4,Kids,38.06,Mobile,No,"Epic Games",Valve,2016,RPG,Yes,52.2,Ultra,Poor,Poor,"Amazing game, but the graphics could be better.",Online,3
"The Elder Scrolls V: Skyrim",22.4,Adults,20.7,PlayStation,Yes,Nintendo,"Electronic Arts",2015,Party,No,42.9,Ultra,Poor,Good,"Amazing game, but the graphics could be better.",Online,8
"Hitman 3",40,Teens,50.8,PlayStation,Yes,Capcom,Innersloth,2020,Party,Yes,45.5,Medium,Good,Excellent,"Amazing game, but the graphics could be better.",Offline,5
"Sid Meierâ€™s Civilization VI",31.6,Teens,39.79,PlayStation,No,"Rockstar Games",Capcom,2023,Adventure,No,38.1,Ultra,Excellent,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,10
"Hitman 3",39,Adults,56.89,"Nintendo Switch",No,"Epic Games",Innersloth,2020,Fighting,Yes,41.7,High,Poor,Average,"Solid game, but the gameplay is amazing.",Offline,2
Cuphead,25,Teens,33.36,PC,No,Capcom,"Epic Games",2018,Party,No,31.2,High,Poor,Average,"Great game, but the graphics could be better.",Online,5
"Bioshock Infinite",39.3,"All Ages",59.94,Xbox,No,"EA Sports","Epic Games",2018,Puzzle,No,32.1,Medium,Average,Good,"Disappointing game, but the graphics could be better.",Online,4
"Half-Life: Alyx",45.4,Kids,57.11,PC,No,"CD Projekt Red","Take-Two Interactive",2020,Adventure,No,50.3,High,Good,Excellent,"Solid game, but too many bugs.",Offline,5
"Stardew Valley",33.8,"All Ages",59.16,Mobile,Yes,"Rockstar Games","Electronic Arts",2014,Action,Yes,9.2,High,Good,Excellent,"Disappointing game, but the graphics could be better.",Offline,2
"Street Fighter V",35,Adults,49.91,"Nintendo Switch",No,Nintendo,Innersloth,2010,Simulation,Yes,32,Low,Average,Excellent,"Solid game, but the gameplay is amazing.",Offline,5
"League of Legends",33.7,"All Ages",36.89,Mobile,Yes,Capcom,"Take-Two Interactive",2013,Adventure,Yes,57.2,Ultra,Average,Average,"Great game, but the graphics could be better.",Online,4
"Tomb Raider (2013)",29.8,Adults,44.67,PlayStation,No,Capcom,Nintendo,2014,Simulation,Yes,25.4,Low,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Online,8
"The Witcher 3: Wild Hunt",31.8,"All Ages",58.97,PlayStation,No,"EA Sports",Capcom,2019,Sports,Yes,5.1,Ultra,Average,Excellent,"Disappointing game, but too many bugs.",Online,3
"Just Dance 2024",26.9,Adults,48.65,"Nintendo Switch",No,"CD Projekt Red","Epic Games",2023,Simulation,Yes,14.2,High,Poor,Good,"Solid game, but too many bugs.",Online,4
"Kingdom Hearts III",33.1,"All Ages",59.52,PlayStation,Yes,"Epic Games",Innersloth,2023,Fighting,No,14.8,Low,Excellent,Good,"Disappointing game, but too many bugs.",Online,4
"The Witcher 3: Wild Hunt",36.1,Teens,50.72,Mobile,No,"Epic Games","Electronic Arts",2011,Fighting,Yes,30.3,Ultra,Good,Good,"Great game, but too many bugs.",Offline,7
Cuphead,39.7,Kids,53.07,PC,No,"Game Freak",Innersloth,2012,Action,No,50.3,Medium,Excellent,Good,"Disappointing game, but the graphics could be better.",Online,10
"Tomb Raider (2013)",28,Adults,35.51,Mobile,Yes,Capcom,Nintendo,2018,Simulation,Yes,38.9,Low,Average,Good,"Amazing game, but the gameplay is amazing.",Online,3
"Rocket League",35.1,Teens,51.69,Mobile,No,"Epic Games",Capcom,2017,Strategy,No,25.2,Ultra,Poor,Excellent,"Disappointing game, but the graphics could be better.",Online,3
Fortnite,34.8,"All Ages",36.74,Xbox,No,"EA Sports","Electronic Arts",2014,Sports,No,56.1,Medium,Good,Good,"Amazing game, but the graphics could be better.",Offline,8
Minecraft,33.6,"All Ages",48.74,Xbox,Yes,Valve,Capcom,2020,Party,Yes,25.8,Ultra,Average,Excellent,"Solid game, but the graphics could be better.",Online,3
"Grand Theft Auto V",27.4,Teens,36.43,PlayStation,Yes,"CD Projekt Red","Square Enix",2010,RPG,No,34.1,Medium,Good,Good,"Solid game, but too many bugs.",Offline,6
"Bioshock Infinite",22.8,Adults,24.63,Mobile,No,"CD Projekt Red","Square Enix",2013,Shooter,Yes,41.1,Medium,Average,Average,"Solid game, but too many bugs.",Offline,8
"Just Dance 2024",25.3,Adults,22.35,Xbox,No,"CD Projekt Red",Activision,2012,Puzzle,Yes,40.9,Low,Poor,Poor,"Great game, but the gameplay is amazing.",Online,2
"Just Dance 2024",39.1,"All Ages",48.09,"Nintendo Switch",Yes,Innersloth,"Epic Games",2014,Strategy,No,52.7,High,Excellent,Excellent,"Amazing game, but too many bugs.",Offline,7
"Super Smash Bros. Ultimate",44.9,Adults,58.36,PC,Yes,Innersloth,"Take-Two Interactive",2020,Sports,Yes,58.3,Medium,Good,Excellent,"Solid game, but too many bugs.",Online,3
Hades,17.2,Adults,21.94,PlayStation,Yes,Innersloth,"Epic Games",2019,Shooter,Yes,18,Low,Poor,Poor,"Amazing game, but the graphics could be better.",Offline,7
"Half-Life: Alyx",27.6,Kids,36.31,Mobile,No,Nintendo,Valve,2023,Strategy,No,29.8,Medium,Good,Average,"Great game, but the gameplay is amazing.",Online,5
Minecraft,39.3,Teens,50.82,Xbox,No,Capcom,"Epic Games",2020,Puzzle,No,40.7,Medium,Good,Average,"Solid game, but the gameplay is amazing.",Offline,4
"Call of Duty: Modern Warfare 2",29.4,Teens,37.32,"Nintendo Switch",No,Innersloth,"Epic Games",2021,Shooter,No,42.5,Medium,Poor,Good,"Amazing game, but the gameplay is amazing.",Online,1
"Just Dance 2024",40.3,Kids,51.37,Xbox,No,"CD Projekt Red","Square Enix",2010,Sports,Yes,42.2,Low,Average,Good,"Amazing game, but the graphics could be better.",Offline,6
"Counter-Strike: Global Offensive",21.9,Kids,28.93,Mobile,Yes,"Game Freak",Nintendo,2023,Fighting,No,31.3,Medium,Good,Good,"Great game, but too many bugs.",Offline,8
"Mario Kart 8 Deluxe",26.2,"All Ages",32.16,PlayStation,Yes,"CD Projekt Red",Capcom,2022,Party,Yes,36.9,Low,Poor,Average,"Great game, but the graphics could be better.",Online,7
"Rocket League",33.9,"All Ages",43.9,"Nintendo Switch",Yes,Nintendo,"Take-Two Interactive",2017,Action,No,44.4,Ultra,Excellent,Excellent,"Amazing game, but the graphics could be better.",Offline,2
"The Witcher 3: Wild Hunt",25.5,"All Ages",24,Mobile,Yes,Bungie,Activision,2013,Action,Yes,46.3,Medium,Poor,Excellent,"Great game, but too many bugs.",Online,10
"1000-Piece Puzzle",32.2,"All Ages",41.27,Mobile,Yes,Nintendo,"Square Enix",2022,Fighting,No,44.7,High,Excellent,Average,"Great game, but too many bugs.",Offline,3
"Rocket League",33.5,"All Ages",51.37,Mobile,No,Nintendo,"Take-Two Interactive",2018,Simulation,No,28.6,Medium,Poor,Good,"Solid game, but the graphics could be better.",Offline,4
"FIFA 24",24.5,"All Ages",40.56,"Nintendo Switch",Yes,"Epic Games",Valve,2013,Shooter,Yes,8,Medium,Poor,Good,"Great game, but the graphics could be better.",Online,4
"Pillars of Eternity II: Deadfire",17.2,Adults,31.89,PlayStation,Yes,"Rockstar Games",Capcom,2021,Action,No,7.8,Ultra,Good,Excellent,"Solid game, but too many bugs.",Online,10
"FIFA 24",28.8,Kids,34.82,PlayStation,No,"Game Freak",Activision,2018,Puzzle,No,35.6,Medium,Good,Poor,"Solid game, but too many bugs.",Online,10
"Hitman 3",33.8,Kids,49.44,Xbox,No,"Game Freak","Square Enix",2013,Puzzle,Yes,36.1,High,Average,Average,"Solid game, but the gameplay is amazing.",Online,4
"Animal Crossing: New Horizons",16.3,Kids,26.54,PC,Yes,"Rockstar Games",Nintendo,2022,Adventure,No,8.3,Low,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Offline,8
"Bioshock Infinite",22.5,"All Ages",35.79,Xbox,Yes,"CD Projekt Red",Innersloth,2019,Adventure,Yes,19.1,Ultra,Poor,Good,"Amazing game, but too many bugs.",Online,4
"1000-Piece Puzzle",29.1,Kids,41.3,Mobile,Yes,Capcom,Capcom,2017,RPG,Yes,22.7,Medium,Excellent,Average,"Great game, but the graphics could be better.",Offline,2
"Call of Duty: Modern Warfare 2",44.5,Teens,57.17,PlayStation,No,"Rockstar Games",Capcom,2012,Sports,Yes,54.3,Medium,Average,Excellent,"Great game, but the graphics could be better.",Online,1
"Street Fighter V",22.9,Teens,28,"Nintendo Switch",Yes,Nintendo,Nintendo,2010,Party,Yes,25.1,Medium,Excellent,Excellent,"Great game, but too many bugs.",Online,1
"Just Dance 2024",25.2,Teens,21.19,PC,No,Nintendo,"Electronic Arts",2012,Strategy,No,49,High,Average,Average,"Solid game, but the graphics could be better.",Online,1
"Rocket League",40.2,Teens,57.64,PlayStation,No,Valve,Activision,2011,Shooter,No,40.5,Ultra,Good,Average,"Disappointing game, but the graphics could be better.",Offline,8
"Sid Meierâ€™s Civilization VI",17.6,Kids,23.31,Mobile,Yes,"CD Projekt Red",Activision,2022,Puzzle,No,17.9,Low,Good,Good,"Disappointing game, but the gameplay is amazing.",Offline,3
"Overwatch 2",34.2,Adults,53.15,PlayStation,No,"CD Projekt Red",Innersloth,2023,Adventure,Yes,22.2,High,Average,Average,"Solid game, but the gameplay is amazing.",Offline,5
Tetris,37.1,Adults,58.51,Mobile,Yes,"Epic Games",Capcom,2013,Sports,Yes,32.8,Low,Good,Poor,"Amazing game, but the gameplay is amazing.",Offline,2
"Fall Guys",30.2,Teens,48.39,"Nintendo Switch",No,Capcom,Activision,2014,Action,No,21.6,Medium,Good,Excellent,"Solid game, but too many bugs.",Offline,6
"Counter-Strike: Global Offensive",27.2,Teens,30.4,PlayStation,No,Innersloth,Nintendo,2020,Fighting,Yes,36.9,Ultra,Average,Average,"Solid game, but too many bugs.",Online,6
"Stardew Valley",25.1,Adults,24.49,Mobile,Yes,Innersloth,"Electronic Arts",2021,Fighting,No,48.9,Ultra,Average,Poor,"Great game, but the graphics could be better.",Online,7
"Sid Meierâ€™s Civilization VI",40.3,"All Ages",48.24,Mobile,No,"EA Sports",Activision,2015,Sports,Yes,59.3,Medium,Poor,Poor,"Amazing game, but the gameplay is amazing.",Online,7
"Grand Theft Auto V",21.3,"All Ages",33.31,PC,No,"EA Sports",Innersloth,2014,Puzzle,Yes,12.2,High,Good,Excellent,"Solid game, but the graphics could be better.",Offline,5
"Pillars of Eternity II: Deadfire",30.8,Adults,45.61,PlayStation,Yes,Capcom,Activision,2011,Simulation,Yes,23.7,Medium,Average,Average,"Amazing game, but the graphics could be better.",Offline,10
"Animal Crossing: New Horizons",28,Kids,32.52,PC,Yes,Bungie,"Epic Games",2016,RPG,No,35.5,Ultra,Average,Good,"Solid game, but too many bugs.",Online,7
"Just Dance 2024",31.2,Adults,24.67,Mobile,No,Capcom,Nintendo,2010,Adventure,No,59.3,High,Average,Excellent,"Amazing game, but too many bugs.",Online,2
"Stardew Valley",39.4,"All Ages",54.73,PlayStation,No,"Epic Games",Nintendo,2013,Fighting,Yes,34.8,Ultra,Excellent,Good,"Great game, but too many bugs.",Online,3
"Halo Infinite",25.9,"All Ages",28.36,PlayStation,No,Capcom,"Take-Two Interactive",2013,Action,No,33.4,High,Average,Average,"Amazing game, but too many bugs.",Online,8
"Portal 2",32.5,Kids,59.74,Xbox,Yes,Innersloth,"Electronic Arts",2019,RPG,Yes,13.2,Ultra,Poor,Good,"Great game, but the graphics could be better.",Online,10
Tetris,28.4,Kids,43.96,"Nintendo Switch",Yes,Bungie,"Take-Two Interactive",2016,Sports,No,23,Medium,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Offline,7
"Halo Infinite",36.4,Teens,57.13,PlayStation,No,"Game Freak","Take-Two Interactive",2016,Fighting,No,31.4,High,Excellent,Good,"Amazing game, but too many bugs.",Online,5
"1000-Piece Puzzle",16.8,Adults,33.71,"Nintendo Switch",No,Capcom,Innersloth,2019,Sports,Yes,5.2,High,Good,Average,"Amazing game, but the graphics could be better.",Offline,4
"Red Dead Redemption 2",27.9,Kids,48.23,PC,Yes,"Epic Games",Nintendo,2014,Fighting,Yes,16,Medium,Average,Excellent,"Disappointing game, but the gameplay is amazing.",Offline,3
"Overwatch 2",18.5,Kids,27.04,Mobile,No,"Rockstar Games","Take-Two Interactive",2013,Strategy,No,15,Low,Excellent,Excellent,"Solid game, but the graphics could be better.",Offline,8
"Spelunky 2",30.2,Adults,27.34,"Nintendo Switch",Yes,"Epic Games",Nintendo,2021,Action,No,49.7,Low,Excellent,Excellent,"Amazing game, but too many bugs.",Offline,4
Hades,39.7,Kids,49.94,Mobile,Yes,Capcom,Innersloth,2021,Adventure,Yes,49.3,Medium,Excellent,Average,"Great game, but the gameplay is amazing.",Offline,7
"Overwatch 2",29.2,Teens,52.05,Mobile,Yes,Innersloth,Valve,2020,Sports,Yes,9.3,High,Excellent,Poor,"Disappointing game, but the graphics could be better.",Online,2
"Ghost of Tsushima",22.7,Adults,23.92,PlayStation,Yes,Bungie,"Square Enix",2016,Strategy,Yes,36.8,Low,Good,Excellent,"Amazing game, but the gameplay is amazing.",Offline,3
"Red Dead Redemption 2",22.8,Adults,33.18,PlayStation,No,Bungie,"Square Enix",2013,Simulation,No,15.2,Medium,Poor,Average,"Solid game, but the graphics could be better.",Online,1
"Spelunky 2",24.6,"All Ages",40.11,"Nintendo Switch",No,"EA Sports",Activision,2021,Strategy,Yes,10.3,Low,Average,Average,"Great game, but the gameplay is amazing.",Offline,8
"Halo Infinite",43.7,Teens,59.65,Xbox,No,Nintendo,Innersloth,2012,Shooter,No,49.5,Medium,Average,Good,"Great game, but the gameplay is amazing.",Online,3
"League of Legends",31.4,"All Ages",41.94,Xbox,No,"Rockstar Games","Electronic Arts",2016,Strategy,Yes,32.7,Low,Poor,Average,"Great game, but the gameplay is amazing.",Offline,4
"Call of Duty: Modern Warfare 2",37.4,Kids,49.16,PlayStation,Yes,"Game Freak","Square Enix",2019,Simulation,Yes,41.3,Ultra,Excellent,Good,"Solid game, but too many bugs.",Online,10
"Call of Duty: Modern Warfare 2",29.4,Adults,20.06,PC,Yes,"Game Freak","Epic Games",2022,Fighting,No,58,Medium,Good,Poor,"Solid game, but too many bugs.",Online,10
"Tekken 7",32.7,"All Ages",47.08,Mobile,No,"Rockstar Games","Take-Two Interactive",2018,Party,Yes,28,Medium,Excellent,Excellent,"Disappointing game, but the graphics could be better.",Offline,4
Tetris,33.8,Teens,45.51,"Nintendo Switch",Yes,Nintendo,Innersloth,2011,Puzzle,Yes,37.7,Ultra,Good,Average,"Amazing game, but the graphics could be better.",Offline,2
"Animal Crossing: New Horizons",17.8,Teens,28.3,Mobile,No,"CD Projekt Red",Nintendo,2015,Fighting,No,13.4,Low,Average,Excellent,"Amazing game, but too many bugs.",Online,5
"Animal Crossing: New Horizons",26.9,Adults,26.64,Mobile,No,"Game Freak",Capcom,2020,Shooter,No,48.3,Low,Poor,Good,"Solid game, but too many bugs.",Offline,2
"Stardew Valley",30,Teens,24.64,Xbox,No,Bungie,Nintendo,2018,Shooter,Yes,54.6,Medium,Excellent,Excellent,"Solid game, but too many bugs.",Online,10
"Ghost of Tsushima",34.4,Kids,50.67,PC,Yes,"CD Projekt Red",Innersloth,2013,Adventure,No,30.2,Ultra,Average,Average,"Solid game, but the graphics could be better.",Online,4
"Animal Crossing: New Horizons",18.7,"All Ages",26.48,Xbox,Yes,"CD Projekt Red",Innersloth,2016,Party,No,17.2,High,Poor,Poor,"Amazing game, but too many bugs.",Offline,10
"Tomb Raider (2013)",16.4,"All Ages",24.75,Mobile,Yes,"CD Projekt Red",Activision,2021,Sports,No,14.1,Ultra,Average,Poor,"Amazing game, but the graphics could be better.",Offline,3
"Tekken 7",30.3,Adults,45.81,Xbox,No,Innersloth,"Epic Games",2016,Sports,Yes,20.3,High,Poor,Average,"Disappointing game, but too many bugs.",Online,6
"Just Dance 2024",27.2,Kids,26.61,Xbox,Yes,"CD Projekt Red","Square Enix",2017,Adventure,No,44,Ultra,Poor,Excellent,"Disappointing game, but too many bugs.",Offline,3
"Super Smash Bros. Ultimate",23.7,Kids,40.92,Xbox,Yes,Valve,"Take-Two Interactive",2013,Strategy,No,15.2,Ultra,Average,Poor,"Disappointing game, but the graphics could be better.",Online,2
"Spelunky 2",27.5,"All Ages",23.63,"Nintendo Switch",Yes,"EA Sports",Nintendo,2013,Strategy,No,52.5,Medium,Excellent,Poor,"Disappointing game, but the gameplay is amazing.",Online,3
"Rocket League",27,Teens,31.46,"Nintendo Switch",No,Nintendo,Activision,2016,RPG,Yes,42.2,Low,Poor,Good,"Solid game, but the graphics could be better.",Online,3
"Ghost of Tsushima",39.7,Teens,44.94,Xbox,Yes,Nintendo,Innersloth,2014,Simulation,No,53.8,High,Excellent,Poor,"Solid game, but too many bugs.",Online,4
"League of Legends",29.4,"All Ages",51.03,"Nintendo Switch",Yes,Nintendo,Valve,2016,Strategy,Yes,8.4,Medium,Good,Poor,"Amazing game, but too many bugs.",Offline,1
Fortnite,29.5,Adults,27.46,"Nintendo Switch",No,Capcom,Nintendo,2012,Strategy,No,50.7,Medium,Excellent,Poor,"Solid game, but the gameplay is amazing.",Online,6
"FIFA 24",19.5,Kids,25.41,Xbox,Yes,Valve,Activision,2019,Fighting,No,29.1,High,Excellent,Good,"Solid game, but the graphics could be better.",Online,1
"Tekken 7",36.6,"All Ages",49.38,Xbox,No,Capcom,Innersloth,2018,Party,No,44.4,High,Poor,Poor,"Amazing game, but the gameplay is amazing.",Offline,8
Minecraft,36.8,Kids,59.1,PlayStation,No,Valve,"Take-Two Interactive",2012,Shooter,Yes,25,Medium,Good,Poor,"Solid game, but the gameplay is amazing.",Offline,3
"Sid Meierâ€™s Civilization VI",38,Kids,52.42,PlayStation,Yes,"Rockstar Games","Square Enix",2010,Simulation,Yes,33.7,Medium,Good,Average,"Solid game, but the graphics could be better.",Online,8
Cuphead,20.9,Kids,37.84,"Nintendo Switch",No,Bungie,"Epic Games",2014,Simulation,No,6.5,Ultra,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Offline,8
"1000-Piece Puzzle",34,"All Ages",45.21,"Nintendo Switch",Yes,"EA Sports","Epic Games",2014,Strategy,No,36.6,Ultra,Poor,Poor,"Disappointing game, but the gameplay is amazing.",Online,1
"Just Dance 2024",40.7,Teens,58.01,PC,Yes,Innersloth,Nintendo,2022,Shooter,Yes,38.4,Medium,Excellent,Good,"Amazing game, but the graphics could be better.",Offline,4
"Among Us",15.9,Teens,24.75,Xbox,No,Bungie,"Take-Two Interactive",2015,Simulation,No,8.1,Medium,Average,Excellent,"Great game, but the gameplay is amazing.",Online,2
"Animal Crossing: New Horizons",15.4,Adults,23.64,"Nintendo Switch",No,Nintendo,"Epic Games",2015,RPG,No,13.9,Ultra,Poor,Average,"Disappointing game, but too many bugs.",Offline,2
"Hitman 3",29,Teens,26.67,PC,Yes,"Rockstar Games","Square Enix",2021,Strategy,No,57.4,Ultra,Excellent,Good,"Amazing game, but the gameplay is amazing.",Online,2
"Portal 2",31.8,Teens,56.19,Mobile,No,Bungie,Capcom,2010,Sports,No,10.2,Low,Good,Good,"Disappointing game, but the graphics could be better.",Offline,5
"League of Legends",17.1,Teens,22.7,PC,No,"CD Projekt Red","Square Enix",2015,Fighting,No,13.2,Low,Poor,Average,"Amazing game, but too many bugs.",Offline,2
Hades,25.5,Kids,44.58,PlayStation,Yes,"Game Freak","Electronic Arts",2012,Puzzle,No,14.4,Low,Average,Excellent,"Amazing game, but the gameplay is amazing.",Offline,10
"Counter-Strike: Global Offensive",21.3,Kids,33.76,Xbox,Yes,"Game Freak",Activision,2011,Simulation,No,15.4,High,Poor,Poor,"Solid game, but the graphics could be better.",Online,10
"Super Smash Bros. Ultimate",41.1,Adults,55.14,PlayStation,Yes,"Epic Games",Capcom,2018,Sports,No,42.6,Ultra,Poor,Good,"Amazing game, but the graphics could be better.",Online,2
"1000-Piece Puzzle",38.3,"All Ages",45.97,PC,Yes,"EA Sports","Epic Games",2015,Fighting,No,50.5,Medium,Good,Poor,"Solid game, but too many bugs.",Offline,4
Fortnite,34.5,"All Ages",41.6,PlayStation,No,"CD Projekt Red","Square Enix",2016,Adventure,No,50.6,High,Good,Good,"Disappointing game, but too many bugs.",Online,3
"Hitman 3",25.9,Adults,27.01,"Nintendo Switch",No,Capcom,Activision,2019,RPG,Yes,42.8,Medium,Excellent,Average,"Disappointing game, but the gameplay is amazing.",Online,3
"Tomb Raider (2013)",28.1,Adults,48.86,PlayStation,No,"Game Freak",Activision,2010,Adventure,No,18.9,Low,Average,Excellent,"Amazing game, but the gameplay is amazing.",Online,5
"Sid Meierâ€™s Civilization VI",14.5,Teens,27.27,Xbox,Yes,Nintendo,Nintendo,2021,Fighting,No,5.2,Ultra,Excellent,Average,"Great game, but the gameplay is amazing.",Online,10
"Tekken 7",28.6,Kids,45.88,PlayStation,No,Innersloth,"Take-Two Interactive",2018,Simulation,No,17,Low,Poor,Poor,"Solid game, but the gameplay is amazing.",Offline,5
"Super Smash Bros. Ultimate",24.8,Teens,27.44,PC,No,Valve,Nintendo,2020,Sports,No,41.6,Ultra,Average,Good,"Amazing game, but the gameplay is amazing.",Online,4
"The Sims 4",27,Adults,35.61,PC,No,Bungie,Innersloth,2022,Action,No,35.5,Ultra,Average,Average,"Solid game, but the graphics could be better.",Online,3
Fortnite,38.2,Kids,46.9,Xbox,No,"CD Projekt Red","Square Enix",2020,Party,Yes,43,Ultra,Average,Average,"Amazing game, but the gameplay is amazing.",Online,5
"The Sims 4",30.3,Kids,54.13,PC,No,Nintendo,Activision,2020,Action,Yes,16.3,Ultra,Good,Poor,"Amazing game, but too many bugs.",Offline,6
"Animal Crossing: New Horizons",18.3,"All Ages",22.62,Xbox,Yes,Nintendo,"Square Enix",2012,Adventure,Yes,17.6,Medium,Excellent,Excellent,"Disappointing game, but too many bugs.",Online,8
"Fall Guys",16.8,Teens,26.32,PC,No,Bungie,Capcom,2017,Shooter,Yes,18.8,High,Excellent,Excellent,"Disappointing game, but too many bugs.",Online,10
"Stardew Valley",26.2,Adults,31.96,PC,No,"Epic Games","Take-Two Interactive",2018,Simulation,No,38.4,High,Average,Average,"Great game, but too many bugs.",Offline,8
"1000-Piece Puzzle",32.8,Adults,41.6,Mobile,Yes,Bungie,"Take-Two Interactive",2021,Party,Yes,45.6,Low,Excellent,Good,"Solid game, but too many bugs.",Online,2
"Counter-Strike: Global Offensive",36.1,Kids,59.06,"Nintendo Switch",Yes,"CD Projekt Red",Valve,2019,Adventure,No,23.7,Low,Excellent,Excellent,"Solid game, but the gameplay is amazing.",Online,3
