,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
849,"Other Source of Income, NEC",0.32,0.22,0.14,-0.1,-0.07
850,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.86,1.05,1.06,0.19000000000000006,0.02
851,Net Receipt from Family Sustenance Activities,0.85,0.91,0.78,0.06000000000000005,-0.13
852,Received as Gifts,2.68,3.41,2.27,0.73,-1.14
853,Imputed Rent,7.03,9.4,8.56,2.37,-0.83
854,,,,,,
855,City of Lucena,,,,,
856,Share to Family Income,100,100.0,100,,
857,Wage/Salaries,48.74,56.29,55.65,7.549999999999997,-0.64
858,Entrepreneurial Activities,19.95,15.49,16.13,-4.459999999999999,0.63
859,Cash Receipts from Abroad,10.88,6.97,10.04,-3.910000000000001,3.07
860,Cash Receipts from Domestic Sources,4.21,3.67,2.78,-0.54,-0.88
861,Rentals Received,0.87,0.43,0.32,-0.44,-0.11
862,Interest,0.04,0.06,0.01,0.019999999999999997,-0.05
863,Pension,3.92,4.14,3.1,0.21999999999999975,-1.04
864,Dividends,0,0.0,0,0,0
865,"Other Source of Income, NEC",0.28,0.04,0.18,-0.24000000000000002,0.14
866,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.79,0.18,0.07,-0.6100000000000001,-0.11
867,Net Receipt from Family Sustenance Activities,0.17,0.43,0.13,0.26,-0.3
868,Received as Gifts,2.05,2.57,1.36,0.52,-1.21
869,Imputed Rent,8.1,9.73,10.23,1.6300000000000008,0.5
870,,,,,,
871,Rizal,,,,,
872,Share to Family Income,100,100.0,100,,
873,Wage/Salaries,59.8,59.65,65.99,-0.14999999999999858,6.34
874,Entrepreneurial Activities,13.61,14.52,12.37,0.9100000000000001,-2.16
875,Cash Receipts from Abroad,9.72,5.73,6.29,-3.99,0.56
876,Cash Receipts from Domestic Sources,2.77,3.68,2.25,0.9100000000000001,-1.43
877,Rentals Received,0.68,0.73,0.4,0.04999999999999993,-0.33
878,Interest,0.07,0.03,0,-0.04000000000000001,-0.02
879,Pension,2.18,2.67,2.57,0.48999999999999977,-0.1
880,Dividends,0.04,0.0,0.03,-0.04,0.03
881,"Other Source of Income, NEC",0.01,0.04,0.02,0.03,-0.03
882,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.04,0.06,0.01,0.019999999999999997,-0.05
883,Net Receipt from Family Sustenance Activities,0.11,0.1,0.06,-0.009999999999999995,-0.04
884,Received as Gifts,2.35,1.74,1.02,-0.6100000000000001,-0.72
885,Imputed Rent,8.61,11.05,9,2.4400000000000013,-2.05
886,,,,,,
887,MIMAROPA REGION,,,,,
888,Share to Family Income,100,100.0,100,,
889,Wage/Salaries,41.1,42.61,46.78,1.509999999999998,4.18
890,Entrepreneurial Activities,29.91,25.17,26.03,-4.739999999999998,0.86
891,Cash Receipts from Abroad,6.73,5.15,5.07,-1.58,-0.08
892,Cash Receipts from Domestic Sources,8.1,8.14,7.13,0.040000000000000924,-1.01
893,Rentals Received,0.42,0.71,0.45,0.29,-0.26
894,Interest,0.13,0.1,0.16,-0.03,0.06
895,Pension,1.98,2.85,2.09,0.8700000000000001,-0.76
896,Dividends,0.01,0.58,0.07,0.57,-0.51
897,"Other Source of Income, NEC",0.13,0.13,0.1,0,-0.03
898,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.84,0.81,0.6,-0.029999999999999916,-0.21
899,Net Receipt from Family Sustenance Activities,1.45,1.9,1.41,0.44999999999999996,-0.5
900,Received as Gifts,2.73,3.72,2.55,0.9900000000000002,-1.18
901,Imputed Rent,6.49,8.12,7.56,1.629999999999999,-0.56
902,,,,,,
903,Marinduque,,,,,
904,Share to Family Income,100,100.0,100,,
905,Wage/Salaries,35.95,41.24,43.63,5.289999999999999,2.39
906,Entrepreneurial Activities,20.87,16.73,15.24,-4.140000000000001,-1.5
907,Cash Receipts from Abroad,10.83,6.84,7.68,-3.99,0.84
908,Cash Receipts from Domestic Sources,15.19,15.18,14.04,-0.009999999999999787,-1.14
909,Rentals Received,0.88,0.22,0.47,-0.66,0.25
910,Interest,0.01,0.01,0.08,0,0.07
911,Pension,3.98,4.73,4.94,0.7500000000000004,0.21
912,Dividends,0,0.02,0.07,0.02,0.05
913,"Other Source of Income, NEC",0.13,0.09,0.03,-0.04000000000000001,-0.06
914,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.62,0.69,1.01,0.06999999999999995,0.32
915,Net Receipt from Family Sustenance Activities,1.43,1.85,1.69,0.42000000000000015,-0.15
916,Received as Gifts,3.82,3.83,3.53,0.010000000000000231,-0.3
917,Imputed Rent,6.28,8.57,7.59,2.29,-0.98
918,,,,,,
919,Occidental Mindoro,,,,,
920,Share to Family Income,100,100.0,100,,
921,Wage/Salaries,42.25,44.2,45.05,1.9500000000000028,0.85
922,Entrepreneurial Activities,31.89,26.42,30.65,-5.469999999999999,4.23
923,Cash Receipts from Abroad,5.29,4.43,4.4,-0.8600000000000003,-0.03
924,Cash Receipts from Domestic Sources,7.33,7.94,6.54,0.6100000000000003,-1.39
925,Rentals Received,1.07,0.64,0.76,-0.43000000000000005,0.12
926,Interest,0.21,0.2,0.13,-0.009999999999999981,-0.07
927,Pension,1.45,1.69,1.09,0.24,-0.6
928,Dividends,0,0.04,0.05,0.04,0.02
929,"Other Source of Income, NEC",0.28,0.24,0.14,-0.040000000000000036,-0.1
930,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.14,0.61,0.81,-0.5299999999999999,0.2
931,Net Receipt from Family Sustenance Activities,1.35,1.99,1.72,0.6399999999999999,-0.27
932,Received as Gifts,2.84,4.03,2.72,1.1900000000000004,-1.31
933,Imputed Rent,4.9,7.56,5.92,2.6599999999999993,-1.64
934,,,,,,
935,Oriental Mindoro,,,,,
936,Share to Family Income,100,100.0,100,,
937,Wage/Salaries,38.96,40.96,47.32,2,6.36
938,Entrepreneurial Activities,29.66,20.65,19.14,-9.010000000000002,-1.51
939,Cash Receipts from Abroad,10.22,9.02,9.12,-1.200000000000001,0.11
940,Cash Receipts from Domestic Sources,7.5,8.41,8.02,0.9100000000000001,-0.39
941,Rentals Received,0.35,0.81,0.5,0.4600000000000001,-0.3
942,Interest,0.12,0.07,0.37,-0.04999999999999999,0.3
943,Pension,1.54,3.44,1.73,1.9,-1.71
944,Dividends,0.02,0.14,0.17,0.12000000000000001,0.04
945,"Other Source of Income, NEC",0.18,0.17,0.11,-0.009999999999999981,-0.06
946,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.07,1.13,0.94,0.05999999999999983,-0.19
947,Net Receipt from Family Sustenance Activities,1.12,1.88,1.12,0.7599999999999998,-0.76
948,Received as Gifts,3.63,5.25,3.31,1.62,-1.94
949,Imputed Rent,5.62,8.08,8.15,2.46,0.06
950,,,,,,
951,Palawan (Excluding City of Puerto Princesa),,,,,
952,Share to Family Income,100,100.0,100,,
953,Wage/Salaries,42.22,38.59,41.4,-3.6299999999999955,2.81
954,Entrepreneurial Activities,32.99,34.64,37.98,1.6499999999999986,3.34
955,Cash Receipts from Abroad,3.14,1.99,1.8,-1.1500000000000001,-0.19
956,Cash Receipts from Domestic Sources,8.15,6.5,5.54,-1.6500000000000004,-0.96
957,Rentals Received,0.13,0.86,0.29,0.73,-0.57
958,Interest,0.13,0.16,0.11,0.03,-0.05
959,Pension,1.51,1.41,1.06,-0.10000000000000009,-0.36
960,Dividends,0,1.92,0.02,1.92,-1.9
961,"Other Source of Income, NEC",0.04,0.07,0.1,0.030000000000000006,0.04
962,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.86,0.96,0.38,0.09999999999999998,-0.58
963,Net Receipt from Family Sustenance Activities,2.29,2.45,1.79,0.16000000000000014,-0.66
964,Received as Gifts,1.61,3.17,2.36,1.5599999999999998,-0.81
965,Imputed Rent,6.92,7.3,7.18,0.3799999999999999,-0.11
966,,,,,,
967,City of Puerto Princesa,,,,,
968,Share to Family Income,100,100.0,100,,
969,Wage/Salaries,47.38,52.29,56.53,4.909999999999997,4.24
970,Entrepreneurial Activities,25.35,20.28,19.47,-5.07,-0.81
971,Cash Receipts from Abroad,5.87,3.64,3.19,-2.23,-0.45
972,Cash Receipts from Domestic Sources,5.49,4.71,4.28,-0.7800000000000002,-0.44
973,Rentals Received,0.26,0.78,0.52,0.52,-0.27
974,Interest,0.01,0.02,0.03,0.01,0.01
975,Pension,2.84,4.41,3.58,1.5700000000000003,-0.83
976,Dividends,0.03,0.01,0.01,-0.019999999999999997,0
977,"Other Source of Income, NEC",0.01,0.12,0.08,0.11,-0.03
978,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.09,0.09,0.11,0,0.02
979,Net Receipt from Family Sustenance Activities,0.56,0.59,0.58,0.029999999999999916,-0.01
980,Received as Gifts,1.86,1.91,1.63,0.04999999999999982,-0.28
981,Imputed Rent,10.24,11.15,10,0.9100000000000001,-1.15
982,,,,,,
983,Romblon,,,,,
984,Share to Family Income,100,100.0,100,,
985,Wage/Salaries,38.72,46.36,53.74,7.640000000000001,7.38
986,Entrepreneurial Activities,32.95,21.25,19.58,-11.700000000000003,-1.67
987,Cash Receipts from Abroad,4.48,3.74,4.95,-0.7400000000000002,1.21
988,Cash Receipts from Domestic Sources,9.37,12.66,8.87,3.290000000000001,-3.79
989,Rentals Received,0.16,0.23,0.1,0.07,-0.13
990,Interest,0.25,0.02,0.04,-0.23,0.02
991,Pension,2.9,4.02,3.67,1.1199999999999997,-0.35
992,Dividends,0,0.03,0.04,0.03,0.01
993,"Other Source of Income, NEC",0.09,0.01,0.02,-0.08,0.01
994,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.65,0.69,0.27,0.039999999999999925,-0.42
995,Net Receipt from Family Sustenance Activities,1.78,1.93,1.46,0.1499999999999999,-0.47
996,Received as Gifts,2.73,1.86,1.01,-0.8699999999999999,-0.85
997,Imputed Rent,5.92,7.21,6.26,1.29,-0.95
998,,,,,,
999,REGION V - BICOL REGION,,,,,
1000,Share to Family Income,100,100.0,100,,
1001,Wage/Salaries,43.59,45.99,49.35,2.3999999999999986,3.37
1002,Entrepreneurial Activities,22.15,19.91,20.57,-2.2399999999999984,0.66
1003,Cash Receipts from Abroad,6.22,5.14,6.18,-1.08,1.04
1004,Cash Receipts from Domestic Sources,10.55,9.86,8.66,-0.6900000000000013,-1.2
1005,Rentals Received,0.39,0.46,0.53,0.07,0.07
1006,Interest,0.1,0.1,0.1,0,0
1007,Pension,3.48,3.36,2.36,-0.1200000000000001,-0.99
1008,Dividends,0.05,0.01,0.04,-0.04,0.03
1009,"Other Source of Income, NEC",0.06,0.25,0.3,0.19,0.05
1010,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.83,0.86,0.73,0.030000000000000027,-0.13
1011,Net Receipt from Family Sustenance Activities,1.63,2.04,1.07,0.41000000000000014,-0.97
1012,Received as Gifts,2.95,2.93,1.91,-0.020000000000000018,-1.02
1013,Imputed Rent,7.99,9.09,8.19,1.0999999999999996,-0.91
1014,,,,,,
1015,Albay,,,,,
1016,Share to Family Income,100,100.0,100,,
1017,Wage/Salaries,46.66,48.93,51.63,2.270000000000003,2.7
1018,Entrepreneurial Activities,17.13,15.39,15.52,-1.7399999999999984,0.13
1019,Cash Receipts from Abroad,6.65,4.63,5.69,-2.0200000000000005,1.06
1020,Cash Receipts from Domestic Sources,9.83,8.58,7.91,-1.25,-0.67
1021,Rentals Received,0.52,0.58,0.53,0.05999999999999994,-0.05
1022,Interest,0.07,0.06,0.08,-0.010000000000000009,0.02
1023,Pension,4.96,5.04,4.31,0.08000000000000007,-0.73
1024,Dividends,0.02,0.02,0.01,0,-0.01
1025,"Other Source of Income, NEC",0.02,0.09,0.13,0.06999999999999999,0.05
1026,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.54,0.73,0.34,0.18999999999999995,-0.38
1027,Net Receipt from Family Sustenance Activities,1.31,1.27,0.9,-0.040000000000000036,-0.37
1028,Received as Gifts,3.26,3.0,2.05,-0.2599999999999998,-0.95
1029,Imputed Rent,9.03,11.69,10.89,2.66,-0.8
1030,,,,,,
1031,Camarines Norte,,,,,
1032,Share to Family Income,100,100.0,100,,
1033,Wage/Salaries,44.44,43.81,56.76,-0.6299999999999955,12.94
1034,Entrepreneurial Activities,21.25,24.5,16.29,3.25,-8.21
1035,Cash Receipts from Abroad,7.24,5.55,5.34,-1.6900000000000004,-0.22
1036,Cash Receipts from Domestic Sources,10.06,9.27,8.44,-0.7900000000000009,-0.83
1037,Rentals Received,0.56,0.52,0.47,-0.040000000000000036,-0.05
1038,Interest,0.06,0.03,0.03,-0.03,0
1039,Pension,3.15,2.47,1.63,-0.6799999999999997,-0.84
1040,Dividends,0.04,0.01,0.05,-0.03,0.04
1041,"Other Source of Income, NEC",0.15,0.46,0.3,0.31000000000000005,-0.16
1042,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.03,0.67,0.71,-0.36,0.04
1043,Net Receipt from Family Sustenance Activities,1.36,1.47,1.11,0.10999999999999988,-0.36
1044,Received as Gifts,3.08,3.25,1.86,0.16999999999999993,-1.39
1045,Imputed Rent,7.58,7.99,7.03,0.41000000000000014,-0.96
1046,,,,,,
1047,Camarines Sur,,,,,
1048,Share to Family Income,100,100.0,100,,
1049,Wage/Salaries,41.54,49.49,48.25,7.950000000000003,-1.23
1050,Entrepreneurial Activities,23.76,14.95,20.66,-8.810000000000002,5.71
1051,Cash Receipts from Abroad,7.34,6.44,8.28,-0.8999999999999995,1.83
1052,Cash Receipts from Domestic Sources,9.39,9.65,8.49,0.2599999999999998,-1.16
1053,Rentals Received,0.19,0.37,0.77,0.18,0.4
1054,Interest,0.07,0.2,0.09,0.13,-0.1
1055,Pension,3.21,2.75,1.79,-0.45999999999999996,-0.96
1056,Dividends,0.13,0.0,0.07,-0.13,0.06
1057,"Other Source of Income, NEC",0.09,0.42,0.34,0.32999999999999996,-0.08
1058,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.73,0.61,0.82,-0.12,0.21
1059,Net Receipt from Family Sustenance Activities,1.71,2.61,0.9,0.8999999999999999,-1.71
1060,Received as Gifts,3.3,2.65,1.59,-0.6499999999999999,-1.06
1061,Imputed Rent,8.53,9.86,7.95,1.33,-1.91
1062,,,,,,
1063,Catanduanes,,,,,
1064,Share to Family Income,100,100.0,100,,
1065,Wage/Salaries,45.75,49.43,48.09,3.6799999999999997,-1.33
1066,Entrepreneurial Activities,18.01,14.56,17.97,-3.450000000000001,3.41
1067,Cash Receipts from Abroad,6.22,5.77,6.24,-0.4500000000000002,0.47
1068,Cash Receipts from Domestic Sources,10.57,10.86,9.47,0.28999999999999915,-1.38
1069,Rentals Received,0.35,0.21,0.54,-0.13999999999999999,0.33
1070,Interest,0,0.01,0.06,0.01,0.04
1071,Pension,4.29,5.04,3,0.75,-2.04
1072,Dividends,0,0.0,0.05,0,0.05
1073,"Other Source of Income, NEC",0.02,0.01,0.22,-0.01,0.21
1074,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.9,0.61,0.55,-0.29000000000000004,-0.06
1075,Net Receipt from Family Sustenance Activities,2.83,2.3,2.76,-0.5300000000000002,0.46
1076,Received as Gifts,3.2,3.33,2.68,0.1299999999999999,-0.65
1077,Imputed Rent,7.85,7.86,8.35,0.010000000000000675,0.49
1078,,,,,,
1079,Masbate,,,,,
1080,Share to Family Income,100,100.0,100,,
1081,Wage/Salaries,40.16,34.18,40.08,-5.979999999999997,5.9
1082,Entrepreneurial Activities,30.65,36.67,33.23,6.020000000000003,-3.44
1083,Cash Receipts from Abroad,1.67,2.87,3.24,1.2000000000000002,0.37
1084,Cash Receipts from Domestic Sources,13.68,11.49,9.93,-2.1899999999999995,-1.56
1085,Rentals Received,0.39,0.49,0.25,0.09999999999999998,-0.24
1086,Interest,0.36,0.06,0.25,-0.3,0.19
1087,Pension,2.03,1.74,1.31,-0.2899999999999998,-0.43
1088,Dividends,0,0.0,0,0,0
1089,"Other Source of Income, NEC",0.01,0.19,0.67,0.18,0.49
1090,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.56,1.97,1.57,0.4099999999999999,-0.4
1091,Net Receipt from Family Sustenance Activities,2,2.52,1.49,0.52,-1.03
1092,Received as Gifts,2.17,2.61,2.16,0.43999999999999995,-0.45
1093,Imputed Rent,5.34,5.22,5.81,-0.1200000000000001,0.59
1094,,,,,,
1095,Sorsogon,,,,,
1096,Share to Family Income,100,100.0,100,,
1097,Wage/Salaries,45.08,43.82,52.51,-1.259999999999998,8.69
1098,Entrepreneurial Activities,21.46,22.45,20.76,0.9899999999999984,-1.68
1099,Cash Receipts from Abroad,6.01,4.62,4.61,-1.3899999999999997,-0.02
1100,Cash Receipts from Domestic Sources,12.3,11.59,9.15,-0.7100000000000009,-2.44
1101,Rentals Received,0.57,0.47,0.15,-0.09999999999999998,-0.32
1102,Interest,0.04,0.1,0.09,0.060000000000000005,0
1103,Pension,2.77,3.13,2,0.3599999999999999,-1.13
1104,Dividends,0.01,0.01,0.01,0,-0.01
1105,"Other Source of Income, NEC",0.04,0.15,0.13,0.10999999999999999,-0.01
1106,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.81,0.93,0.33,0.12,-0.6
1107,Net Receipt from Family Sustenance Activities,1.44,2.19,0.83,0.75,-1.37
1108,Received as Gifts,2.03,3.34,2.12,1.31,-1.22
1109,Imputed Rent,7.44,7.21,7.31,-0.23000000000000043,0.11
1110,,,,,,
1111,REGION VI - WESTERN VISAYAS,,,,,
1112,Share to Family Income,100,100.0,100,,
1113,Wage/Salaries,41.97,41.84,48.97,-0.12999999999999545,7.1299999999999955
1114,Entrepreneurial Activities,19.61,17.75,15.73,-1.8599999999999994,-2.0199999999999996
1115,Cash Receipts from Abroad,15.12,11.84,12.9,-3.2799999999999994,1.0600000000000005
1116,Cash Receipts from Domestic Sources,6.95,7.71,6.54,0.7599999999999998,-1.17
1117,Rentals Received,0.4,0.39,0.27,-0.010000000000000009,-0.12
1118,Interest,0.05,0.03,0.05,-0.020000000000000004,0.020000000000000004
1119,Pension,3.22,4.23,2.68,1.0100000000000002,-1.5500000000000003
1120,Dividends,0.11,0.75,0.18,0.64,-0.5700000000000001
1121,"Other Source of Income, NEC",0.01,0.14,0.03,0.13,-0.11000000000000001
1122,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.45,0.53,0.33,0.08000000000000002,-0.2
1123,Net Receipt from Family Sustenance Activities,1.7,1.9,1.63,0.19999999999999996,-0.27
1124,Received as Gifts,3.2,3.79,2.98,0.5899999999999999,-0.81
1125,Imputed Rent,7.2,9.1,7.71,1.8999999999999995,-1.3899999999999997
1126,,,,,,
1127,Aklan,,,,,
1128,Share to Family Income,100,100.0,100,,
1129,Wage/Salaries,43.02,40.32,45.46,-2.700000000000003,5.14
1130,Entrepreneurial Activities,19.81,18.86,19.39,-0.9499999999999993,0.53
1131,Cash Receipts from Abroad,8.81,7.93,8.35,-0.8800000000000008,0.42
1132,Cash Receipts from Domestic Sources,8.61,7.77,7.97,-0.8399999999999999,0.2
1133,Rentals Received,0.79,1.32,0.46,0.53,-0.86
1134,Interest,0.12,0.0,0,-0.12,0
1135,Pension,4.1,5.43,3.31,1.33,-2.13
1136,Dividends,0.54,2.29,0.11,1.75,-2.18
1137,"Other Source of Income, NEC",0,0.06,0,0.06,-0.06
1138,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.49,0.42,0.51,-0.07,0.09
1139,Net Receipt from Family Sustenance Activities,1.5,2.23,2.1,0.73,-0.13
1140,Received as Gifts,3.35,3.36,3.7,0.009999999999999787,0.34
1141,Imputed Rent,8.86,9.99,8.64,1.1300000000000008,-1.35
1142,,,,,,
1143,Antique,,,,,
1144,Share to Family Income,100,100.0,100,,
1145,Wage/Salaries,41.71,38.99,43.25,-2.719999999999999,4.26
1146,Entrepreneurial Activities,18.34,20.22,17.54,1.879999999999999,-2.69
1147,Cash Receipts from Abroad,15.43,11.82,12.11,-3.6099999999999994,0.28
1148,Cash Receipts from Domestic Sources,10.36,9.84,10.23,-0.5199999999999996,0.39
1149,Rentals Received,0.53,0.38,0.43,-0.15000000000000002,0.06
1150,Interest,0,0.04,0.12,0.04,0.09
1151,Pension,3.59,3.71,3.61,0.1200000000000001,-0.1
1152,Dividends,0.01,0.04,0.05,0.03,0.02
1153,"Other Source of Income, NEC",0.01,0.16,0,0.15,-0.16
1154,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.89,0.72,0.83,-0.17000000000000004,0.11
1155,Net Receipt from Family Sustenance Activities,2.27,2.91,2.26,0.6400000000000001,-0.65
1156,Received as Gifts,3.71,4.82,4.44,1.1100000000000003,-0.39
1157,Imputed Rent,3.14,6.35,5.12,3.2099999999999995,-1.23
1158,,,,,,
1159,Capiz,,,,,
1160,Share to Family Income,100,100.0,100,,
1161,Wage/Salaries,48.48,42.86,46.92,-5.619999999999997,4.05
1162,Entrepreneurial Activities,17.85,17.96,17.76,0.10999999999999943,-0.2
1163,Cash Receipts from Abroad,10.38,9.34,10.5,-1.040000000000001,1.16
1164,Cash Receipts from Domestic Sources,9.02,9.2,8.6,0.17999999999999972,-0.6
1165,Rentals Received,0.02,0.07,0.16,0.05,0.1
1166,Interest,0,0.1,0.07,0.1,-0.04
1167,Pension,2.94,3.77,2.13,0.8300000000000001,-1.64
1168,Dividends,0,0.0,0,0,0
1169,"Other Source of Income, NEC",0.01,0.02,0,0.01,-0.02
1170,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.24,0.69,0.46,0.44999999999999996,-0.23
1171,Net Receipt from Family Sustenance Activities,2.01,2.28,1.89,0.27,-0.39
1172,Received as Gifts,1.9,3.32,2.68,1.42,-0.64
1173,Imputed Rent,7.14,10.38,8.81,3.240000000000001,-1.57
1174,,,,,,
1175,Iloilo (Excluding City of Iloilo),,,,,
1176,Share to Family Income,100,100.0,100,,
1177,Wage/Salaries,38.95,40.86,51.16,1.9099999999999966,10.3
1178,Entrepreneurial Activities,20.07,17.33,12.92,-2.740000000000002,-4.42
1179,Cash Receipts from Abroad,18.7,14.13,15.6,-4.5699999999999985,1.47
1180,Cash Receipts from Domestic Sources,6.16,8.06,5.56,1.9000000000000004,-2.5
1181,Rentals Received,0.2,0.18,0.17,-0.020000000000000018,-0.01
1182,Interest,0.02,0.01,0.05,-0.01,0.05
1183,Pension,2.82,4.01,2.2,1.19,-1.81
1184,Dividends,0.02,0.23,0.03,0.21000000000000002,-0.2
1185,"Other Source of Income, NEC",0,0.23,0.06,0.23,-0.16
1186,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.43,0.61,0.15,0.18,-0.46
1187,Net Receipt from Family Sustenance Activities,1.99,1.84,1.61,-0.1499999999999999,-0.22
1188,Received as Gifts,3.8,3.78,2.82,-0.020000000000000018,-0.96
1189,Imputed Rent,6.85,8.73,7.67,1.8800000000000008,-1.06
1190,,,,,,
1191,City of Iloilo,,,,,
1192,Share to Family Income,100,100.0,100,,
1193,Wage/Salaries,44.87,47.0,53.06,2.1300000000000026,6.06
1194,Entrepreneurial Activities,19.96,16.14,17.09,-3.8200000000000003,0.94
1195,Cash Receipts from Abroad,13.74,11.31,12.52,-2.4299999999999997,1.21
1196,Cash Receipts from Domestic Sources,3.4,3.24,2.35,-0.1599999999999997,-0.9
1197,Rentals Received,1.02,0.56,0.36,-0.45999999999999996,-0.2
1198,Interest,0.02,0.0,0.02,-0.02,0.02
1199,Pension,3.96,5.51,3.53,1.5499999999999998,-1.98
1200,Dividends,0.24,2.69,1.19,2.45,-1.49
1201,"Other Source of Income, NEC",0.01,0.01,0.05,0,0.04
1202,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.22,0.07,0.06,-0.15,-0.01
1203,Net Receipt from Family Sustenance Activities,0.11,0.16,0.11,0.05,-0.04
1204,Received as Gifts,2.2,2.53,1.4,0.3299999999999996,-1.13
1205,Imputed Rent,10.24,10.79,8.26,0.5499999999999989,-2.53
1206,,,,,,
1207,,,,,,
1208,Guimaras,,,,,
1209,Share to Family Income,100,100.0,100,,
1210,Wage/Salaries,37.94,45.34,49.15,7.400000000000006,3.8
1211,Entrepreneurial Activities,22.85,15.87,16.81,-6.980000000000002,0.93
1212,Cash Receipts from Abroad,17.59,10.02,11.37,-7.57,1.35
1213,Cash Receipts from Domestic Sources,6.34,6.35,6.69,0.009999999999999787,0.35
1214,Rentals Received,0.11,0.36,0.18,0.25,-0.18
1215,Interest,0.52,0.09,0.08,-0.43000000000000005,-0.01
1216,Pension,2.02,1.48,2.47,-0.54,0.99
1217,Dividends,0.02,0.0,0,-0.02,0
1218,"Other Source of Income, NEC",0,0.25,0,0.25,-0.25
1219,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.1,0.41,0.45,-0.6900000000000002,0.04
1220,Net Receipt from Family Sustenance Activities,2.21,3.11,2.03,0.8999999999999999,-1.08
1221,Received as Gifts,3.29,9.16,4.07,5.87,-5.09
1222,Imputed Rent,6.01,7.55,6.7,1.54,-0.85
1223,,,,,,
1224,NEGROS ISLAND REGION,,,,,
1225,Share to Family Income,100,100.0,100,,
1226,Wage/Salaries,45.56,50.04,55.12,4.479999999999997,5.079999999999998
1227,Entrepreneurial Activities,18.68,16.86,15.74,-1.8200000000000003,-1.1199999999999992
1228,Cash Receipts from Abroad,10.46,7.36,7.61,-3.1000000000000005,0.25
1229,Cash Receipts from Domestic Sources,6.82,6.79,5.86,-0.03000000000000025,-0.9299999999999997
1230,Rentals Received,0.22,0.36,0.31,0.13999999999999999,-0.04999999999999999
1231,Interest,0.03,0.03,0.06,0,0.03
1232,Pension,4.88,3.99,3.59,-0.8899999999999997,-0.40000000000000036
1233,Dividends,0.21,0.1,0.19,-0.10999999999999999,0.09
1234,"Other Source of Income, NEC",0.04,0.18,0.16,0.13999999999999999,-0.01999999999999999
1235,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.22,0.47,0.23,0.24999999999999997,-0.23999999999999996
1236,Net Receipt from Family Sustenance Activities,1.71,2.12,1.42,0.41000000000000014,-0.7000000000000002
1237,Received as Gifts,2.63,2.78,1.54,0.1499999999999999,-1.2399999999999998
1238,Imputed Rent,8.54,8.92,8.18,0.3800000000000008,-0.7400000000000002
1239,,,,,,
1240,Negros Occidental (Excluding City of Bacolod),,,,,
1241,Share to Family Income,100,100.0,100,,
1242,Wage/Salaries,47.58,50.92,55.48,3.3400000000000034,4.56
1243,Entrepreneurial Activities,17.9,16.07,16.14,-1.8299999999999983,0.06
1244,Cash Receipts from Abroad,9.29,6.93,7.08,-2.3599999999999994,0.15
1245,Cash Receipts from Domestic Sources,8.05,7.98,6.12,-0.07000000000000028,-1.86
1246,Rentals Received,0.14,0.22,0.28,0.07999999999999999,0.06
1247,Interest,0.03,0.05,0.06,0.020000000000000004,0.01
1248,Pension,5.13,4.51,3.52,-0.6200000000000001,-0.99
1249,Dividends,0.01,0.0,0.01,-0.01,0.01
1250,"Other Source of Income, NEC",0.01,0.12,0.17,0.11,0.05
1251,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.18,0.31,0.23,0.13,-0.09
1252,Net Receipt from Family Sustenance Activities,2.11,2.26,1.71,0.1499999999999999,-0.55
1253,Received as Gifts,2.59,3.04,1.56,0.4500000000000002,-1.47
1254,Imputed Rent,6.98,7.59,7.65,0.6099999999999994,0.06
1255,,,,,,
1256,City of Bacolod,,,,,
1257,Share to Family Income,100,100.0,100,,
