,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
833,Information and Communication,1.61,3.56,3.57,1.95,0
834,"Recreation, Sport and Culture",0.78,0.49,0.76,-0.29,0.26
835,Education,3.01,1.22,5.7,-1.79,4.48
836,Hotels (Accommodation Services),0.18,0.02,0.11,-0.15,0.09
837,Insurance and Financial Services,0,3.5,3.3,3.5,-0.19
838,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.46,4.77,3.5,-2.69,-1.27
839,Durable Furniture and Equipment,7.47,3.66,2.09,-3.8,-1.58
840,Special Family Occasion,2.37,2.33,2.62,-0.04,0.29
841,Other Expenditures,1.82,2.74,2.68,0.92,-0.06
842,,,,,,
843,REGION III - CENTRAL LUZON,,,,,
844,Share to Family Expenditure,100,100.0,100,,
845,Food and Non-Alcoholic Beverages,42.72,42.07,40.35,-0.65,-1.71
846,    Food Consumed at Home,32.61,38.44,35.57,5.83,-2.86
847,    Food Regularly Consumed Outside the Home,10.11,3.63,4.78,-6.48,1.15
848,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
849,Alcoholic Beverages and Tobacco,2.44,1.89,1.64,-0.55,-0.25
850,Clothing and Footwear,2.45,1.49,2.13,-0.96,0.64
851,"Housing, Water, Electricity, Gas and Other Fuels",18.99,24.12,21.94,5.13,-2.18
852,Furnishings and Routine Household Maintenance,2.2,1.91,2.55,-0.28,0.64
853,Health,3.09,3.62,2.95,0.53,-0.67
854,Transport,7.12,5.6,6.64,-1.51,1.04
855,Information and Communication,2.38,3.66,3.61,1.27,-0.05
856,"Recreation, Sport and Culture",0.63,0.36,1.03,-0.28,0.67
857,Education,2.06,1.24,2.98,-0.83,1.75
858,Hotels (Accommodation Services),0.12,0.04,0.04,-0.08,0
859,Insurance and Financial Services,0,2.69,2.15,2.69,-0.54
860,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.41,4.74,3.88,-1.68,-0.85
861,Durable Furniture and Equipment,3.96,2.91,2.89,-1.05,-0.02
862,Special Family Occasion,3.23,1.98,2.78,-1.24,0.8
863,Other Expenditures,2.2,1.69,2.42,-0.51,0.74
864,,,,,,
865,Aurora,,,,,
866,Share to Family Expenditure,100,100.0,100,,
867,Food and Non-Alcoholic Beverages,45.38,44.32,43.15,-1.06,-1.17
868,    Food Consumed at Home,39.76,42.85,39.8,3.09,-3.05
869,    Food Regularly Consumed Outside the Home,5.62,1.47,3.35,-4.15,1.88
870,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
871,Alcoholic Beverages and Tobacco,2.1,2.61,1.7,0.51,-0.92
872,Clothing and Footwear,3.5,2.1,2.42,-1.4,0.32
873,"Housing, Water, Electricity, Gas and Other Fuels",14.71,17.67,17,2.96,-0.67
874,Furnishings and Routine Household Maintenance,2.57,2.02,2.67,-0.55,0.65
875,Health,3.41,3.04,3.49,-0.37,0.45
876,Transport,5.45,5.14,6,-0.31,0.86
877,Information and Communication,1.62,3.73,3.52,2.11,-0.21
878,"Recreation, Sport and Culture",0.88,0.49,0.92,-0.39,0.43
879,Education,3.04,1.64,2.45,-1.4,0.81
880,Hotels (Accommodation Services),0.1,0.01,0.1,-0.1,0.09
881,Insurance and Financial Services,0,2.96,2.14,2.96,-0.82
882,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.13,4.88,4.57,-2.25,-0.32
883,Durable Furniture and Equipment,5.52,4.36,3.87,-1.16,-0.5
884,Special Family Occasion,2.78,2.67,3.15,-0.11,0.49
885,Other Expenditures,1.81,2.36,2.85,0.55,0.48
886,,,,,,
887,Bataan,,,,,
888,Share to Family Expenditure,100,100.0,100,,
889,Food and Non-Alcoholic Beverages,41.15,40.73,40.88,-0.42,0.16
890,    Food Consumed at Home,31.86,37.15,35.77,5.29,-1.38
891,    Food Regularly Consumed Outside the Home,9.28,3.58,5.11,-5.71,1.54
892,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
893,Alcoholic Beverages and Tobacco,1.6,1.56,1.25,-0.04,-0.31
894,Clothing and Footwear,2.93,1.4,1.75,-1.53,0.35
895,"Housing, Water, Electricity, Gas and Other Fuels",19.66,23.51,23.33,3.85,-0.18
896,Furnishings and Routine Household Maintenance,2.31,2.31,2.59,0,0.28
897,Health,3.49,4.93,3.69,1.44,-1.24
898,Transport,7.19,5.71,8.04,-1.49,2.33
899,Information and Communication,2.4,3.72,3.41,1.32,-0.31
900,"Recreation, Sport and Culture",0.75,0.45,0.72,-0.3,0.27
901,Education,1.98,1.32,3.11,-0.66,1.78
902,Hotels (Accommodation Services),0.1,0.12,0.03,0.02,-0.09
903,Insurance and Financial Services,0,3.16,2.45,3.16,-0.7
904,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.01,4.58,3.91,-2.43,-0.66
905,Durable Furniture and Equipment,4.92,3.29,1.23,-1.64,-2.05
906,Special Family Occasion,2.61,1.7,2.09,-0.91,0.39
907,Other Expenditures,1.91,1.53,1.5,-0.38,-0.03
908,,,,,,
909,Bulacan,,,,,
910,Share to Family Expenditure,100,100.0,100,,
911,Food and Non-Alcoholic Beverages,38.89,41.76,39.46,2.88,-2.31
912,    Food Consumed at Home,28.87,37.34,33.43,8.47,-3.91
913,    Food Regularly Consumed Outside the Home,10.02,4.42,6.02,-5.59,1.59
914,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
915,Alcoholic Beverages and Tobacco,2.09,2.08,1.76,-0.01,-0.32
916,Clothing and Footwear,2.12,1.1,2.11,-1.02,1
917,"Housing, Water, Electricity, Gas and Other Fuels",19.67,23.66,20.53,3.99,-3.13
918,Furnishings and Routine Household Maintenance,2.19,1.88,2.53,-0.31,0.65
919,Health,3.89,3.81,3.08,-0.08,-0.73
920,Transport,8.1,6.16,7.34,-1.93,1.18
921,Information and Communication,2.59,3.9,3.62,1.31,-0.28
922,"Recreation, Sport and Culture",0.67,0.38,1.38,-0.29,1.01
923,Education,2.29,1.62,3.83,-0.67,2.21
924,Hotels (Accommodation Services),0.08,0.05,0.07,-0.03,0.02
925,Insurance and Financial Services,0,3.22,2.74,3.22,-0.48
926,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.7,4.92,3.75,-1.79,-1.16
927,Durable Furniture and Equipment,5.78,3.17,3.43,-2.61,0.26
928,Special Family Occasion,2.77,1.15,2.22,-1.62,1.07
929,Other Expenditures,2.16,1.13,2.15,-1.02,1.02
930,,,,,,
931,Nueva Ecija,,,,,
932,Share to Family Expenditure,100,100.0,100,,
933,Food and Non-Alcoholic Beverages,45.29,42.81,40.65,-2.48,-2.17
934,    Food Consumed at Home,35.09,40.92,37.15,5.82,-3.76
935,    Food Regularly Consumed Outside the Home,10.19,1.89,3.49,-8.3,1.6
936,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
937,Alcoholic Beverages and Tobacco,2.75,1.99,1.95,-0.76,-0.04
938,Clothing and Footwear,2.34,1.27,1.99,-1.06,0.71
939,"Housing, Water, Electricity, Gas and Other Fuels",19.4,27.64,19.64,8.24,-8
940,Furnishings and Routine Household Maintenance,2.24,1.76,2.45,-0.48,0.69
941,Health,3.33,2.93,2.37,-0.4,-0.56
942,Transport,6.09,5.09,5.72,-1.01,0.64
943,Information and Communication,1.96,3.37,3.64,1.41,0.28
944,"Recreation, Sport and Culture",0.65,0.22,0.54,-0.42,0.31
945,Education,2,0.84,3.02,-1.16,2.18
946,Hotels (Accommodation Services),0.25,0.05,0.01,-0.2,-0.04
947,Insurance and Financial Services,0,2.54,1.73,2.54,-0.82
948,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.2,4.6,3.83,-1.6,-0.77
949,Durable Furniture and Equipment,2.76,1.67,3.56,-1.09,1.88
950,Special Family Occasion,3.11,1.64,3.93,-1.47,2.3
951,Other Expenditures,1.64,1.58,4.98,-0.06,3.4
952,,,,,,
953,Pampanga (Excluding City of Angeles),,,,,
954,Share to Family Expenditure,100,100.0,100,,
955,Food and Non-Alcoholic Beverages,45.37,43.74,41.13,-1.63,-2.61
956,    Food Consumed at Home,33.63,39.98,36.83,6.36,-3.16
957,    Food Regularly Consumed Outside the Home,11.74,3.75,4.3,-7.99,0.55
958,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
959,Alcoholic Beverages and Tobacco,3.13,1.57,1.53,-1.56,-0.04
960,Clothing and Footwear,2.53,1.71,2.39,-0.83,0.68
961,"Housing, Water, Electricity, Gas and Other Fuels",17.55,23.57,23.38,6.02,-0.18
962,Furnishings and Routine Household Maintenance,2.07,1.72,2.51,-0.35,0.79
963,Health,2.35,3.07,3.01,0.72,-0.06
964,Transport,6.97,5.36,5.96,-1.61,0.6
965,Information and Communication,2.57,3.62,3.58,1.05,-0.04
966,"Recreation, Sport and Culture",0.51,0.34,1.02,-0.17,0.68
967,Education,1.94,1.13,2.11,-0.81,0.97
968,Hotels (Accommodation Services),0.08,0.01,0.01,-0.07,0.01
969,Insurance and Financial Services,0,2.11,1.68,2.11,-0.44
970,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.91,4.44,3.6,-1.47,-0.84
971,Durable Furniture and Equipment,2.49,3.0,2.93,0.51,-0.08
972,Special Family Occasion,4.19,2.83,3.36,-1.35,0.52
973,Other Expenditures,2.35,1.79,1.81,-0.56,0.02
974,,,,,,
975,City of Angeles,,,,,
976,Share to Family Expenditure,100,100.0,100,,
977,Food and Non-Alcoholic Beverages,40.88,37.31,37.83,-3.57,0.52
978,    Food Consumed at Home,29.85,32.93,32.72,3.08,-0.21
979,    Food Regularly Consumed Outside the Home,11.03,4.37,5.1,-6.66,0.73
980,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
981,Alcoholic Beverages and Tobacco,2.51,1.58,1.14,-0.93,-0.43
982,Clothing and Footwear,2.4,1.43,2.5,-0.97,1.07
983,"Housing, Water, Electricity, Gas and Other Fuels",22.54,30.01,27.91,7.46,-2.1
984,Furnishings and Routine Household Maintenance,2.28,1.89,2.61,-0.39,0.72
985,Health,2.31,2.91,2.65,0.6,-0.26
986,Transport,7.03,5.63,6.37,-1.4,0.74
987,Information and Communication,2.81,3.84,4,1.02,0.17
988,"Recreation, Sport and Culture",0.52,0.39,0.93,-0.13,0.54
989,Education,1.81,1.22,2.28,-0.59,1.05
990,Hotels (Accommodation Services),0.01,0.01,0.01,0,0
991,Insurance and Financial Services,0,1.78,1.79,1.78,0
992,"Personal Care, Social Protection and Miscellaneous Goods and Services",6,5.19,4.51,-0.81,-0.68
993,Durable Furniture and Equipment,3.46,1.64,1.16,-1.82,-0.48
994,Special Family Occasion,3.29,2.32,2.35,-0.97,0.03
995,Other Expenditures,2.14,2.86,1.97,0.72,-0.89
996,,,,,,
997,Tarlac,,,,,
998,Share to Family Expenditure,100,100.0,100,,
999,Food and Non-Alcoholic Beverages,46.04,42.06,41.79,-3.98,-0.27
1000,    Food Consumed at Home,36.52,38.6,36.32,2.07,-2.27
1001,    Food Regularly Consumed Outside the Home,9.51,3.46,5.47,-6.05,2.01
1002,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1003,Alcoholic Beverages and Tobacco,2.49,2.32,1.82,-0.16,-0.5
1004,Clothing and Footwear,2.97,2.31,2.04,-0.66,-0.26
1005,"Housing, Water, Electricity, Gas and Other Fuels",16.66,19.89,21.3,3.24,1.41
1006,Furnishings and Routine Household Maintenance,2.21,2.36,2.58,0.15,0.22
1007,Health,2.41,4.99,2.97,2.59,-2.03
1008,Transport,7.06,5.56,7.02,-1.5,1.45
1009,Information and Communication,2.05,3.29,3.31,1.24,0.02
1010,"Recreation, Sport and Culture",0.48,0.37,0.68,-0.11,0.31
1011,Education,1.87,1.22,2.8,-0.64,1.57
1012,Hotels (Accommodation Services),0.18,0.03,0.1,-0.15,0.07
1013,Insurance and Financial Services,0,2.71,2.29,2.71,-0.43
1014,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.66,4.92,4.4,-1.74,-0.51
1015,Durable Furniture and Equipment,2.96,4.16,2.96,1.19,-1.2
1016,Special Family Occasion,3.35,2.13,2.46,-1.22,0.33
1017,Other Expenditures,2.63,1.67,1.48,-0.96,-0.18
1018,,,,,,
1019,Zambales (Excluding City of Olongapo),,,,,
1020,Share to Family Expenditure,100,100.0,100,,
1021,Food and Non-Alcoholic Beverages,44.27,43.83,41.69,-0.45,-2.14
1022,    Food Consumed at Home,36.92,40.65,39.47,3.73,-1.18
1023,    Food Regularly Consumed Outside the Home,7.36,3.18,2.21,-4.18,-0.96
1024,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0.01
1025,Alcoholic Beverages and Tobacco,2.11,1.83,1.17,-0.28,-0.67
1026,Clothing and Footwear,2.24,1.45,1.92,-0.79,0.47
1027,"Housing, Water, Electricity, Gas and Other Fuels",19.1,22.63,22.81,3.53,0.19
1028,Furnishings and Routine Household Maintenance,2.31,1.78,2.69,-0.54,0.92
1029,Health,2.51,3.1,2.76,0.59,-0.34
1030,Transport,6.5,5.43,6.57,-1.07,1.14
1031,Information and Communication,2.06,3.45,3.79,1.39,0.35
1032,"Recreation, Sport and Culture",0.86,0.36,1.74,-0.49,1.38
1033,Education,1.65,0.62,3.25,-1.04,2.63
1034,Hotels (Accommodation Services),0.2,0.02,0.03,-0.18,0.01
1035,Insurance and Financial Services,0,2.47,1.49,2.47,-0.97
1036,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.08,4.82,3.95,-1.26,-0.87
1037,Durable Furniture and Equipment,4.39,2.3,1.9,-2.08,-0.41
1038,Special Family Occasion,3.4,3.12,2.13,-0.28,-0.99
1039,Other Expenditures,2.32,2.8,2.12,0.48,-0.67
1040,,,,,,
1041,City of Olongapo,,,,,
1042,Share to Family Expenditure,100,100.0,100,,
1043,Food and Non-Alcoholic Beverages,39.04,36.55,35.16,-2.48,-1.4
1044,    Food Consumed at Home,30.05,32.27,31.53,2.21,-0.74
1045,    Food Regularly Consumed Outside the Home,8.98,4.29,3.61,-4.7,-0.67
1046,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.02,0,0.02
1047,Alcoholic Beverages and Tobacco,1.99,1.4,1.3,-0.59,-0.11
1048,Clothing and Footwear,2.57,1.42,1.92,-1.15,0.5
1049,"Housing, Water, Electricity, Gas and Other Fuels",24.21,29.82,29.46,5.61,-0.36
1050,Furnishings and Routine Household Maintenance,2.15,2.01,3.18,-0.14,1.17
1051,Health,2.33,3.06,3.38,0.73,0.32
1052,Transport,5.62,4.73,5.98,-0.88,1.25
1053,Information and Communication,2.78,4.31,4.47,1.53,0.16
1054,"Recreation, Sport and Culture",1.05,0.46,1.44,-0.59,0.98
1055,Education,2.64,0.73,2.14,-1.9,1.41
1056,Hotels (Accommodation Services),0.07,0.04,0.01,-0.03,-0.03
1057,Insurance and Financial Services,0,3.84,2.78,3.84,-1.06
1058,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.66,4.4,3.69,-2.26,-0.71
1059,Durable Furniture and Equipment,2.7,2.19,0.98,-0.51,-1.22
1060,Special Family Occasion,2.32,2.24,2.06,-0.09,-0.17
1061,Other Expenditures,3.88,2.79,2.06,-1.09,-0.73
1062,,,,,,
1063,REGION IVA - CALABARZON,,,,,
1064,Share to Family Expenditure,100,100.0,100,,
1065,Food and Non-Alcoholic Beverages,39.95,41.38,38.98,1.42,-2.39
1066,    Food Consumed at Home,29.45,35.77,32.48,6.31,-3.29
1067,    Food Regularly Consumed Outside the Home,10.5,5.61,6.5,-4.89,0.9
1068,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1069,Alcoholic Beverages and Tobacco,1.88,2.04,1.42,0.15,-0.61
1070,Clothing and Footwear,2.51,1.27,1.85,-1.24,0.58
1071,"Housing, Water, Electricity, Gas and Other Fuels",19.79,23.71,23.65,3.93,-0.06
1072,Furnishings and Routine Household Maintenance,2.35,1.79,2.61,-0.57,0.82
1073,Health,3.01,3.66,3.51,0.66,-0.16
1074,Transport,7.52,5.74,7.49,-1.77,1.74
1075,Information and Communication,2.63,3.87,3.73,1.24,-0.14
1076,"Recreation, Sport and Culture",0.83,0.48,0.87,-0.36,0.39
1077,Education,3.04,1.87,3.01,-1.17,1.14
1078,Hotels (Accommodation Services),0.27,0.1,0.12,-0.17,0.02
1079,Insurance and Financial Services,0,3.61,3.32,3.61,-0.29
1080,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.84,4.22,3.72,-2.62,-0.5
1081,Durable Furniture and Equipment,3.97,2.32,1.9,-1.65,-0.42
1082,Special Family Occasion,2.31,1.71,1.74,-0.6,0.02
1083,Other Expenditures,3.1,2.23,2.08,-0.87,-0.15
1084,,,,,,
1085,Batangas,,,,,
1086,Share to Family Expenditure,100,100.0,100,,
1087,Food and Non-Alcoholic Beverages,39.26,39.08,35.53,-0.17,-3.56
1088,    Food Consumed at Home,28.23,36.44,32.84,8.21,-3.59
1089,    Food Regularly Consumed Outside the Home,11.03,2.65,2.68,-8.38,0.04
1090,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1091,Alcoholic Beverages and Tobacco,1.51,3.0,1.31,1.49,-1.69
1092,Clothing and Footwear,2.64,1.28,1.73,-1.36,0.45
1093,"Housing, Water, Electricity, Gas and Other Fuels",21.09,24.1,24.72,3,0.62
1094,Furnishings and Routine Household Maintenance,2.65,1.75,2.46,-0.9,0.71
1095,Health,3.07,4.62,5.23,1.55,0.6
1096,Transport,7.94,5.64,7.53,-2.3,1.89
1097,Information and Communication,2.87,3.84,3.87,0.97,0.03
1098,"Recreation, Sport and Culture",0.75,0.73,1.11,-0.02,0.39
1099,Education,3.2,2.25,5.19,-0.96,2.95
1100,Hotels (Accommodation Services),0.42,0.05,0.11,-0.37,0.07
1101,Insurance and Financial Services,0,3.46,2.57,3.46,-0.89
1102,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.96,4.71,3.45,-3.25,-1.26
1103,Durable Furniture and Equipment,1.75,1.99,1.51,0.24,-0.48
1104,Special Family Occasion,3.24,1.89,2.24,-1.35,0.36
1105,Other Expenditures,1.66,1.62,1.44,-0.04,-0.18
1106,,,,,,
1107,Cavite,,,,,
1108,Share to Family Expenditure,100,100.0,100,,
1109,Food and Non-Alcoholic Beverages,38.47,40.32,37.99,1.85,-2.33
1110,    Food Consumed at Home,28.96,33.16,31.58,4.2,-1.57
1111,    Food Regularly Consumed Outside the Home,9.52,7.16,6.41,-2.36,-0.75
1112,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1113,Alcoholic Beverages and Tobacco,1.9,1.6,1.16,-0.29,-0.44
1114,Clothing and Footwear,2.53,1.2,2.24,-1.33,1.05
1115,"Housing, Water, Electricity, Gas and Other Fuels",20.15,23.85,25.63,3.7,1.78
1116,Furnishings and Routine Household Maintenance,2.03,1.58,2.27,-0.45,0.69
1117,Health,3.05,3.8,3.28,0.75,-0.52
1118,Transport,7.76,5.91,7.2,-1.85,1.29
1119,Information and Communication,2.73,4.23,3.99,1.49,-0.24
1120,"Recreation, Sport and Culture",0.67,0.47,0.99,-0.2,0.52
1121,Education,3.03,2.11,2.69,-0.92,0.58
1122,Hotels (Accommodation Services),0.13,0.1,0.06,-0.02,-0.05
1123,Insurance and Financial Services,0,4.09,3.58,4.09,-0.51
1124,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.69,3.87,3.85,-2.83,-0.01
1125,Durable Furniture and Equipment,4.88,2.31,2.07,-2.57,-0.25
1126,Special Family Occasion,1.91,1.55,1.22,-0.36,-0.34
1127,Other Expenditures,4.07,3.0,1.79,-1.07,-1.21
1128,,,,,,
1129,Laguna,,,,,
1130,Share to Family Expenditure,100,100.0,100,,
1131,Food and Non-Alcoholic Beverages,41.18,41.16,39.69,-0.02,-1.46
1132,    Food Consumed at Home,30.54,37.14,33.07,6.6,-4.07
1133,    Food Regularly Consumed Outside the Home,10.64,4.01,6.62,-6.63,2.61
1134,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1135,Alcoholic Beverages and Tobacco,2,1.94,1.48,-0.07,-0.45
1136,Clothing and Footwear,2.35,1.35,1.74,-1,0.39
1137,"Housing, Water, Electricity, Gas and Other Fuels",19.18,23.79,22.44,4.61,-1.35
1138,Furnishings and Routine Household Maintenance,2.38,1.91,2.56,-0.47,0.65
1139,Health,2.88,3.44,3.29,0.56,-0.14
1140,Transport,7.31,6.18,7.43,-1.13,1.25
1141,Information and Communication,2.63,3.84,3.53,1.21,-0.31
1142,"Recreation, Sport and Culture",0.87,0.38,0.65,-0.49,0.27
1143,Education,3.01,1.54,2.77,-1.47,1.22
1144,Hotels (Accommodation Services),0.22,0.08,0.19,-0.15,0.12
1145,Insurance and Financial Services,0,3.61,3.8,3.61,0.19
1146,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.8,4.84,3.7,-1.96,-1.14
1147,Durable Furniture and Equipment,4.46,3.02,2.96,-1.44,-0.07
1148,Special Family Occasion,2.13,1.37,1.35,-0.76,-0.02
1149,Other Expenditures,2.6,1.55,2.42,-1.05,0.87
1150,,,,,,
1151,Quezon (Excluding City of Lucena),,,,,
1152,Share to Family Expenditure,100,100.0,100,,
1153,Food and Non-Alcoholic Beverages,45.81,45.96,47.3,0.15,1.34
1154,    Food Consumed at Home,34.97,43.11,39.74,8.14,-3.37
1155,    Food Regularly Consumed Outside the Home,10.85,2.85,7.55,-8,4.71
1156,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1157,Alcoholic Beverages and Tobacco,2.2,2.08,1.83,-0.12,-0.24
1158,Clothing and Footwear,2.99,1.7,1.79,-1.28,0.09
1159,"Housing, Water, Electricity, Gas and Other Fuels",16.37,19.49,18.12,3.12,-1.38
1160,Furnishings and Routine Household Maintenance,2.24,1.98,2.46,-0.26,0.48
1161,Health,3.14,4.54,3.88,1.4,-0.67
1162,Transport,5.33,4.37,5.04,-0.96,0.67
1163,Information and Communication,1.89,3.34,2.89,1.45,-0.45
1164,"Recreation, Sport and Culture",1.24,0.5,0.85,-0.74,0.35
1165,Education,2.57,1.62,2.64,-0.95,1.02
1166,Hotels (Accommodation Services),0.57,0.17,0.11,-0.41,-0.06
1167,Insurance and Financial Services,0,2.75,2.34,2.75,-0.41
1168,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.77,4.96,4.35,-1.8,-0.61
1169,Durable Furniture and Equipment,3.33,2.39,1.87,-0.94,-0.52
1170,Special Family Occasion,3.12,2.7,2.69,-0.42,-0.01
1171,Other Expenditures,2.42,1.42,1.83,-1,0.42
1172,,,,,,
1173,City of Lucena,,,,,
1174,Share to Family Expenditure,100,100.0,100,,
1175,Food and Non-Alcoholic Beverages,42.86,44.89,43.73,2.03,-1.16
1176,    Food Consumed at Home,29.67,38.1,35.47,8.43,-2.63
1177,    Food Regularly Consumed Outside the Home,13.19,6.79,8.26,-6.4,1.47
1178,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1179,Alcoholic Beverages and Tobacco,2.46,1.72,1.52,-0.74,-0.2
1180,Clothing and Footwear,2.42,1.44,1.93,-0.98,0.49
1181,"Housing, Water, Electricity, Gas and Other Fuels",18.63,21.63,22.55,3,0.91
1182,Furnishings and Routine Household Maintenance,2.27,1.87,2.67,-0.4,0.8
1183,Health,3.75,3.55,3.27,-0.2,-0.28
1184,Transport,5.26,4.71,5.73,-0.55,1.02
1185,Information and Communication,2.51,3.54,3.53,1.04,-0.01
1186,"Recreation, Sport and Culture",1.37,0.62,0.76,-0.75,0.14
1187,Education,2.66,2.42,3.16,-0.24,0.74
1188,Hotels (Accommodation Services),0.33,0.04,0.1,-0.29,0.06
1189,Insurance and Financial Services,0,3.84,2.39,3.84,-1.45
1190,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.78,3.88,3.45,-2.9,-0.43
1191,Durable Furniture and Equipment,3.67,2.28,1.74,-1.38,-0.54
1192,Special Family Occasion,2.83,1.9,2.09,-0.93,0.18
1193,Other Expenditures,2.19,1.66,1.37,-0.53,-0.29
1194,,,,,,
1195,Rizal,,,,,
1196,Share to Family Expenditure,100,100.0,100,,
1197,Food and Non-Alcoholic Beverages,38.74,42.85,38.7,4.11,-4.15
1198,    Food Consumed at Home,27.78,34.52,29.7,6.74,-4.82
1199,    Food Regularly Consumed Outside the Home,10.96,8.33,9,-2.63,0.67
1200,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.01,0,0
1201,Alcoholic Beverages and Tobacco,1.83,1.99,1.61,0.17,-0.38
1202,Clothing and Footwear,2.4,1.12,1.62,-1.29,0.5
1203,"Housing, Water, Electricity, Gas and Other Fuels",20.4,24.89,23.88,4.49,-1
1204,Furnishings and Routine Household Maintenance,2.6,1.89,3.25,-0.71,1.36
1205,Health,2.94,2.64,2.56,-0.3,-0.08
1206,Transport,8.07,5.74,8.93,-2.33,3.19
1207,Information and Communication,2.6,3.65,3.85,1.05,0.21
1208,"Recreation, Sport and Culture",0.89,0.38,0.78,-0.51,0.4
1209,Education,3.16,1.63,2.1,-1.53,0.47
1210,Hotels (Accommodation Services),0.31,0.13,0.14,-0.18,0.01
1211,Insurance and Financial Services,0,3.38,3.48,3.38,0.09
1212,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.37,3.44,3.58,-2.93,0.14
1213,Durable Furniture and Equipment,3.98,1.84,0.78,-2.14,-1.06
1214,Special Family Occasion,2.09,1.75,2.04,-0.34,0.29
1215,Other Expenditures,3.62,2.68,2.69,-0.93,0.01
1216,,,,,,
1217,MIMAROPA REGION,,,,,
1218,Share to Family Expenditure,100,100.0,100,,
1219,Food and Non-Alcoholic Beverages,46.97,42.72,42.1,-4.25,-0.62
1220,    Food Consumed at Home,41.72,41.85,39.23,0.14,-2.62
1221,    Food Regularly Consumed Outside the Home,5.25,0.86,2.86,-4.39,2
1222,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
1223,Alcoholic Beverages and Tobacco,1.76,1.96,1.52,0.19,-0.44
1224,Clothing and Footwear,3.27,2.11,2.21,-1.17,0.1
1225,"Housing, Water, Electricity, Gas and Other Fuels",17.75,20.35,19.9,2.6,-0.45
1226,Furnishings and Routine Household Maintenance,2.3,2.09,2.81,-0.21,0.72
1227,Health,2.48,3.84,3.19,1.35,-0.65
1228,Transport,6.11,5.51,6.61,-0.6,1.11
1229,Information and Communication,1.42,3.17,2.95,1.74,-0.22
1230,"Recreation, Sport and Culture",0.88,0.48,0.98,-0.4,0.5
1231,Education,2.33,1.18,2.93,-1.15,1.76
1232,Hotels (Accommodation Services),0.1,0.02,0.1,-0.08,0.09
1233,Insurance and Financial Services,0,2.97,3.13,2.97,0.16
1234,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.63,4.86,3.98,-1.78,-0.87
1235,Durable Furniture and Equipment,3.59,4.41,2.83,0.82,-1.58
1236,Special Family Occasion,2.38,2.17,2.5,-0.21,0.33
1237,Other Expenditures,2.01,2.18,2.25,0.17,0.07
1238,,,,,,
1239,Marinduque,,,,,
1240,Share to Family Expenditure,100,100.0,100,,
1241,Food and Non-Alcoholic Beverages,42.23,47.95,46.97,5.71,-0.98
1242,    Food Consumed at Home,36.35,46.76,41.44,10.41,-5.32
