,"Table 3. Total Annual Family Income, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
113,Southern Leyte,21038.79,1028.66,1224.39,1373.35,1425.79,1432.54,1626.6,1762.14,2198.01,3033.75,5933.56,24129.63,1146.01,1356.98,1527.38,1673.6,1698.52,1873.65,2074.46,2658.05,3468.22,6652.77,29829.09,1696.27,1753.07,2031.69,2051.57,2210.64,2232.09,2595.05,3104.69,4122.3,8031.72,14.69,11.41,10.83,11.22,17.38,18.57,15.19,17.72,20.93,14.32,12.12,23.62,48.02,29.19,33.02,22.58,30.15,19.13,25.09,16.8,18.86,20.73
114,Biliran,10929.88,499.61,609.03,630.91,631.26,699.83,743.89,877.54,1033.23,1528.86,3675.72,12356.26,486.7,600.74,696.81,678.25,787.92,886.9,997.69,1211.94,2016.7,3992.6,13876.29,709.18,830.11,853.56,920.8,981.3,986.3,1071.62,1350.96,2030.85,4141.59,13.05,-2.58,-1.36,10.45,7.44,12.59,19.22,13.69,17.3,31.91,8.62,12.3,45.71,38.18,22.5,35.76,24.54,11.21,7.41,11.47,0.7,3.73
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,REGION IX - ZAMBOANGA PENINSULA,191058.61,8144.53,9921.59,11292.64,11931.79,12876.52,14619.9,16593.21,18852,27592.07,59234.38,208595.22,8626.28,10751.1,12541.66,13325.93,14920,16401.19,17842.83,21405.96,28936.07,63844.2,230654.69,10517.4,12862.27,14434.8,15523.29,17251.66,18814.58,20892.89,23626.47,30307.98,66423.34,9.18,5.92,8.36,11.06,11.68,15.87,12.18,7.53,13.55,4.87,7.78,10.58,21.92,19.64,15.09,16.49,15.63,14.71,17.09,10.37,4.74,4.04
117,Zamboanga Del Norte,47453.69,2122.99,2627.56,2785.01,3030.78,3243.91,3408.9,4070.57,4713.95,6775.25,14674.78,53578.76,2398.87,2903.18,3220.88,3376.97,3625.72,3800.89,4149.28,5070.5,7440.4,17592.06,59611.72,3213.79,3445.37,3967.85,4201.87,4339.2,4603.42,4904.85,5617.15,7013.25,18304.97,12.91,12.99,10.49,15.65,11.42,11.77,11.5,1.93,7.56,9.82,19.88,11.26,33.97,18.68,23.19,24.43,19.68,21.11,18.21,10.78,-5.74,4.05
118,Zamboanga Del Sur (Excluding City of Zamboanga),41012.7,1971.44,2437.63,2588.32,2884.78,2846.37,3093.83,3433.45,3939.66,5365.25,12451.97,51600.8,2069.25,2459.8,2955.29,3235.4,3388.5,3984.42,4367.27,5076.62,7382.6,16681.65,53316.34,2079.25,2769.56,3115.17,3164.28,3565.82,4020.49,4246.93,5061.9,7684.08,17608.85,25.82,4.96,0.91,14.18,12.15,19.05,28.79,27.2,28.86,37.6,33.97,3.32,0.48,12.59,5.41,-2.2,5.23,0.91,-2.76,-0.29,4.08,5.56
119,City of Zamboanga,62650.61,3583.12,3743.34,4191.63,4381.76,4425.28,5054.52,5426.35,6825.71,8899.33,16119.57,57821.19,3570.66,3906.55,4320.47,4417.15,4663.47,5229.2,5403.7,6141.31,7230.49,12938.21,64383.56,4353.46,4869.4,5241.08,5380.76,5537.79,5971.26,5952.81,6643.23,7701.29,12732.49,-7.71,-0.35,4.36,3.07,0.81,5.38,3.46,-0.42,-10.03,-18.75,-19.74,11.35,21.92,24.65,21.31,21.82,18.75,14.19,10.16,8.17,6.51,-1.59
120,Zamboanga Sibugay,34927.53,1481.84,1679.42,1745.17,2035.14,2019.26,2237.59,2594.28,3012.16,4542.81,13579.86,39530.15,1549.17,1922.08,1910.25,2263.89,2328.73,2551.94,3017.13,3369.02,4967.78,15650.16,44873.69,2107.5,2381.78,2465.49,2582.52,2705.97,3036.22,3516.26,4296.88,5976.01,15805.07,13.18,4.54,14.45,9.46,11.24,15.33,14.05,16.3,11.85,9.35,15.25,13.52,36.04,23.92,29.07,14.07,16.2,18.98,16.54,27.54,20.3,0.99
121,Isabela City,5014.08,264.66,305.89,308.07,334.26,323.68,374.77,388.53,494.54,815.39,1404.29,6064.32,319.55,386.14,414.71,457.32,493.41,543.05,573.16,588.43,830.33,1458.22,8469.36,541,569.64,616.89,642.32,671.08,682.14,745.23,929.12,1092.76,1979.2,20.95,20.74,26.23,34.62,36.82,52.44,44.9,47.52,18.99,1.83,3.84,39.66,69.3,47.52,48.75,40.45,36.01,25.61,30.02,57.9,31.6,35.73
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,REGION X - NORTHERN MINDANAO,280507.56,12418.63,14541.11,15954.21,17274.29,19364.78,21644.83,25184.63,29955.26,41416.25,82753.57,306603.44,13010.74,16206.04,18050.58,20032.01,21521.8,23604.88,27669.69,31728.02,45104.61,89675.07,366374.02,16540.64,20062.42,22373.73,24478.54,27338.07,29991.42,34364.75,39355.39,50412,101457.05,9.3,4.77,11.45,13.14,15.96,11.14,9.06,9.87,5.92,8.91,8.36,19.49,27.13,23.8,23.95,22.2,27.03,27.06,24.2,24.04,11.77,13.14
124,Bukidnon,73886.28,3411.84,4047.44,4366.87,4781.9,4999.41,5863.55,6173.07,7997.13,9685.91,22559.15,86548.18,3455.78,4463.41,4997.69,5144.02,6350.51,6930.68,7441.01,8860.57,12218.26,26686.26,92530.01,4691.98,5240.6,6033.88,6476.99,7400.22,8268.81,9026.41,9971.43,11889.66,23530.03,17.14,1.29,10.28,14.45,7.57,27.03,18.2,20.54,10.8,26.14,18.29,6.91,35.77,17.41,20.73,25.91,16.53,19.31,21.31,12.54,-2.69,-11.83
125,Camiguin,5197.92,236.61,317.93,324.61,350.83,367.31,449.51,507.91,578.12,722.59,1342.49,6479.63,259.11,343.55,408.51,383.06,421.39,484.33,541.12,622.56,912.02,2103.98,7451.23,380.23,445.79,433.88,505.87,528.35,541.73,657.54,730.78,1160.52,2066.56,24.66,9.51,8.06,25.85,9.19,14.72,7.75,6.54,7.69,26.22,56.72,14.99,46.74,29.76,6.21,32.06,25.38,11.85,21.51,17.38,27.25,-1.78
126,Lanao Del Norte (Excluding City of Iligan),31066.34,1747.8,1973.38,2181.53,2216.58,2431.22,2571.24,2593.15,3006.84,4048.24,8296.37,29893.9,1573.56,1869.25,2067.9,2236.75,2279.84,2529.85,2696.59,3194.54,3752.69,7692.94,42500.9,2036.97,2330.48,2503.62,2652.69,3010.28,2941.57,3280.54,4055.36,5261.25,14428.14,-3.77,-9.97,-5.28,-5.21,0.91,-6.23,-1.61,3.99,6.24,-7.3,-7.27,42.17,29.45,24.67,21.07,18.6,32.04,16.27,21.66,26.95,40.2,87.55
127,City of Iligan,23692.53,961.09,1212.13,1395.69,1508.74,1813.02,1960.55,2288.01,2739.4,3702.16,6111.75,25502.45,1138.3,1458.51,1519.25,1729.69,1792.61,2185.28,2495.25,2967.03,3531.16,6685.39,34520.13,1350.33,1963.36,1962.49,2257.44,2344.25,2893.98,3226.39,3749.72,4770.37,10001.81,7.64,18.44,20.33,8.85,14.64,-1.13,11.46,9.06,8.31,-4.62,9.39,35.36,18.63,34.61,29.17,30.51,30.77,32.43,29.3,26.38,35.09,49.61
128,Misamis Occidental,29981.61,1529.69,1721.36,1920.86,1976.34,2079.57,2353.03,2519.72,3080.13,4466.88,8334.03,35880.6,1787.71,2115.4,2263.01,2628.47,2393.72,2468.11,2852.03,3340.23,4803.01,11228.92,41680.63,1844.61,2385.4,2366.97,2657.4,2915.23,2999.38,3264,4059.09,6295.52,12893.03,19.68,16.87,22.89,17.81,33,15.11,4.89,13.19,8.44,7.52,34.74,16.16,3.18,12.76,4.59,1.1,21.79,21.53,14.44,21.52,31.07,14.82
129,"Misamis Oriental 
(Excluding City of Cagayan de Oro)",50553.5,2285.39,2701.05,2921.7,3310.74,3697.55,4147.39,4830.9,5276.73,6803.17,14578.87,53385.44,2583.04,3191.71,3375.2,3689.48,4092.58,4309.54,4985.7,5451.72,7251.82,14454.65,68407.76,3675.28,4288.79,4781.89,4924,5583.97,5535.29,6449.74,6962.73,9403.88,16802.18,5.6,13.02,18.17,15.52,11.44,10.68,3.91,3.2,3.32,6.59,-0.85,28.14,42.29,34.37,41.68,33.46,36.44,28.44,29.36,27.72,29.68,16.24
130,City of Cagayan de Oro,66129.38,2446.19,3092.93,3586.98,3961.12,4756.37,5232.12,6528.84,7405.98,10078.97,19039.89,68913.24,3064.28,3509.62,3815.33,4218.61,5089.8,5577.13,6835.23,8034.9,9654.35,19114,79283.36,3849.29,4520.22,5183.48,5626.78,6202.55,7624.61,7612.39,8348.88,10308.5,20006.67,4.21,25.27,13.47,6.37,6.5,7.01,6.59,4.69,8.49,-4.21,0.39,15.05,25.62,28.8,35.86,33.38,21.86,36.71,11.37,3.91,6.78,4.67
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,REGION XI - DAVAO REGION,346634.63,13885.01,17588.66,20345.25,22246.05,25302.99,27583.88,32113.43,38355.71,51155.36,98058.3,392797.22,16105.87,20499.38,23096.38,24818.32,28274.39,31428.78,35652.57,42233.38,54312.5,116375.65,468674.28,19907.01,24982.95,27035.24,30271.22,34525.2,37754.86,42765.71,50732.48,66598.19,134101.41,13.32,15.99,16.55,13.52,11.56,11.74,13.94,11.02,10.11,6.17,18.68,19.32,23.6,21.87,17.05,21.97,22.11,20.13,19.95,20.12,22.62,15.23
133,Davao Del Norte,63876.73,3057.46,3932.91,4132.54,4828.94,4742.31,5302.5,5931.99,6983.37,8116.29,16848.44,64957.96,3317.46,4083.84,4465.91,4781.62,5357.99,5439.14,6204.17,7039.44,8255.9,16012.48,68967.05,3821.04,4666.55,5045.08,5662.62,5853.1,6067.21,6750.76,7433.37,8448.1,15219.23,1.69,8.5,3.84,8.07,-0.98,12.98,2.58,4.59,0.8,1.72,-4.96,6.17,15.18,14.27,12.97,18.42,9.24,11.55,8.81,5.6,2.33,-4.95
134,Davao Del Sur (Excluding City of Davao),44437.59,1959.94,2392.72,2725.78,2801.08,3230.35,3266.42,3708.88,4299.54,5771.02,14281.86,50883.28,2249.08,2793.2,3053.4,3467.44,3731.64,4011.97,4599.74,4778.19,6167.69,16030.93,61206.66,2924.7,3577.2,3913.18,3974.24,4640.98,4924.56,5617.75,6054.68,8233.83,17345.54,14.51,14.75,16.74,12.02,23.79,15.52,22.82,24.02,11.13,6.87,12.25,20.29,30.04,28.07,28.16,14.62,24.37,22.75,22.13,26.71,33.5,8.2
135,City of Davao,157649.87,6400.97,8441.72,10125.21,10654.98,12084.76,13709.79,15620,19023.11,21935.11,39654.21,192210.28,8006.42,9824.71,11347.01,12154.04,13949.02,15444,17876.39,21296.53,24084.98,58227.18,232983.06,7633.18,10599.46,12704.38,15803.53,17041.3,19127.01,21823.04,27593.06,31293.98,69364.13,21.92,25.08,16.38,12.07,14.07,15.43,12.65,14.45,11.95,9.8,46.84,21.21,-4.66,7.89,11.96,30.03,22.17,23.85,22.08,29.57,29.93,19.13
136,Davao Oriental,28808.17,1630.02,1779.26,2007.16,2012.22,1994.24,2127.91,2272.43,2636.86,3543.92,8804.14,31179.28,1772.74,2137.05,2212.42,2230.35,2214.96,2455.74,2750.52,2957.28,3836.36,8611.85,33614.45,2199.51,2306.67,2530.62,2505.73,2742.76,2649.7,2915.92,3346.89,4186.62,8230.03,8.23,8.76,20.11,10.23,10.84,11.07,15.41,21.04,12.15,8.25,-2.18,7.81,24.07,7.94,14.38,12.35,23.83,7.9,6.01,13.17,9.13,-4.43
137,Davao De Oro,39038.19,1860.43,2397,2508.83,2529.46,2887.59,3516.76,3524,4123.2,4686.78,11004.13,38896.51,1951.96,2246.14,2594.6,2795.59,3134.93,3409.23,3540.72,3803.44,5220.92,10198.98,54227.12,2896.52,3346.16,3697.62,4167.92,4238.97,4587.79,4715.42,5496.87,6957.8,14122.05,-0.36,4.92,-6.29,3.42,10.52,8.57,-3.06,0.47,-7.76,11.4,-7.32,39.41,48.39,48.97,42.51,49.09,35.22,34.57,33.18,44.52,33.27,38.47
138,Davao Occidental,12824.07,662.69,819.61,789.23,902.59,1003.46,1018.42,1130.53,1225.02,1606.1,3666.42,14669.91,714.67,856.86,956.32,1060.33,1111.39,1188.13,1271.28,1339.55,1799.54,4371.82,17675.94,990.25,1171.39,1199,1271.45,1415.35,1521.31,1564.32,1567.88,2127.18,4847.83,14.39,7.84,4.54,21.17,17.48,10.76,16.66,12.45,9.35,12.04,19.24,20.49,38.56,36.71,25.38,19.91,27.35,28.04,23.05,17.05,18.21,10.89
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,REGION XII - SOCCSKSARGEN1/,260117.86,8571.95,11887.88,14181.78,15601.82,18048.87,20771.23,22792.72,26961.41,34735.64,86564.53,268925.14,10602.8,12984.09,15179.96,16962.16,18714.48,20743.47,23741.64,29343.83,37134.75,83517.96,321421.3,13138.57,15792.76,17793.96,19829.66,21833.6,24219.45,28662.83,33371.18,41310.92,105468.39,3.39,23.69,9.22,7.04,8.72,3.69,-0.13,4.16,8.84,6.91,-3.52,19.52,23.92,21.63,17.22,16.91,16.67,16.76,20.73,13.72,11.25,26.28
141,Cotabato (North Cotabato),92071.28,3019.2,3820.52,4631.19,4964.61,5736.39,6866.66,7653.46,8612.27,11155.32,35611.66,88254.69,4189.09,4702.09,5233.16,6019.38,6304.08,6843.54,7923.39,9679.93,11990.15,25369.87,107152.02,4135.02,5362.6,6114.63,6764.19,7494.88,8309.22,9626.89,10949.55,14202.64,34192.4,-4.15,38.75,23.07,13,21.25,9.9,-0.34,3.53,12.4,7.48,-28.76,21.41,-1.29,14.05,16.84,12.37,18.89,21.42,21.5,13.12,18.45,34.78
142,South Cotabato (Excluding City of General Santos),63084.72,2193.88,2898.34,3537.93,3899.1,4229.79,4828.25,5305.57,6418.15,8621.85,21151.84,63920.56,2133.08,2979.92,3481.02,3950.99,4438.96,5327.82,5995.76,6219.21,9229.46,20164.33,67832.69,3079.2,3811.3,4336.58,4789.4,5243.74,5656.07,6188.35,7486.74,8623.23,18618.09,1.32,-2.77,2.81,-1.61,1.33,4.95,10.35,13.01,-3.1,7.05,-4.67,6.12,44.35,27.9,24.58,21.22,18.13,6.16,3.21,20.38,-6.57,-7.67
143,City of General Santos (Dadiangas),44791.51,1913.42,2479.19,2896.13,3362.76,3495.89,3673.28,4105.33,5063.75,6560.32,11241.43,51764.22,1889.9,2448.57,2647.55,3154.89,3514.63,3925.21,4540.31,5312.07,6845.81,17485.28,57357.38,2657.28,3200.86,3611.92,3749.73,4309.01,4841.47,5389.31,5995.59,8429.39,15172.82,15.57,-1.23,-1.24,-8.58,-6.18,0.54,6.86,10.6,4.9,4.35,55.54,10.81,40.6,30.72,36.43,18.85,22.6,23.34,18.7,12.87,23.13,-13.23
144,Sultan Kudarat,39283.23,1522.08,2034.14,2300.74,2529.43,2722.58,3434.43,3599.58,4155.86,5497.15,11487.23,40656.13,1764.69,2040.74,2335.87,2792.99,2880.11,3040.37,3434.35,4315.63,6362.85,11688.52,59001.84,2039.48,2471.58,2644.35,3041.38,3183.45,3535.28,3968.13,5027.7,6313.84,26776.65,3.49,15.94,0.32,1.53,10.42,5.79,-11.47,-4.59,3.84,15.75,1.75,45.12,15.57,21.11,13.21,8.89,10.53,16.28,15.54,16.5,-0.77,129.09
145,Sarangani,20887.11,782.25,1055.27,1252.96,1481.6,1616.77,1858.7,2055.93,2413.95,2853.93,5515.75,24329.54,1023.8,1295.75,1455.24,1732.21,1797.41,1943.2,2234.91,2462.02,3105.39,7279.6,30077.37,1439.22,1859.49,1973.75,2147.51,2391.76,2452.29,2711.89,3333.05,4295.39,7473.03,16.48,30.88,22.79,16.14,16.91,11.17,4.55,8.71,1.99,8.81,31.98,23.62,40.58,43.51,35.63,23.98,33.07,26.2,21.34,35.38,38.32,2.66
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,CARAGA,150299.09,6063.85,7468.4,8411.85,9316.97,10009.31,10896.9,12704.65,14940.93,20659.27,49826.96,165836.95,6769.64,8224.95,8891.27,9775.63,10800.05,12194.64,13714.5,16173.45,23852.59,55440.22,191966.18,9032.5,10923.54,11842.19,13166.06,14081.73,15351.15,16423.48,19702.58,25685.53,55757.42,10.34,11.64,10.13,5.7,4.92,7.9,11.91,7.95,8.25,15.46,11.27,15.76,33.43,32.81,33.19,34.68,30.39,25.88,19.75,21.82,7.68,0.57
148,Agusan Del Norte (Excluding City of Butuan),17357.31,772.06,972.83,1073.92,1133.36,1168.89,1424.76,1544.63,1875.32,2248.36,5143.17,22315.31,915.1,1157.35,1284.2,1323.84,1469.31,1596.5,1919.8,2131.52,3105.3,7412.39,23483.83,1114.67,1371.95,1444.99,1708.61,1829.89,1964.75,2230,2525.28,3246.51,6047.17,28.56,18.53,18.97,19.58,16.81,25.7,12.05,24.29,13.66,38.11,44.12,5.24,21.81,18.54,12.52,29.06,24.54,23.07,16.16,18.47,4.55,-18.42
149,City of Butuan,24476.44,870.42,1024.95,1266.6,1428.62,1587.23,1865.37,2104.16,2655.35,3672.08,8001.65,27637.6,960.4,1151.99,1350.09,1492.27,1856.86,2089.28,2396.74,2837.93,4409.13,9092.92,35478.32,1233.48,1606.13,1942.7,2056.55,2304.73,2439.17,3165.99,4183.42,5471.45,11074.71,12.92,10.34,12.39,6.59,4.46,16.99,12,13.9,6.88,20.07,13.64,28.37,28.43,39.42,43.89,37.81,24.12,16.75,32.1,47.41,24.09,21.79
150,Agusan Del Sur,37942.38,1521.04,1895.45,2085.15,2187.9,2521.91,2678.98,2880.55,3338.35,4719.08,14113.96,37932.41,1683.56,2052.98,2070.76,2355.02,2486.34,2845.82,3247.45,3633.88,4898.69,12657.9,41342.13,2160.15,2593.52,2787.57,2860.32,3140.18,3326.73,3697.11,3792.57,5144.98,11838.99,-0.03,10.68,8.31,-0.69,7.64,-1.41,6.23,12.74,8.85,3.81,-10.32,8.99,28.31,26.33,34.62,21.46,26.3,16.9,13.85,4.37,5.03,-6.47
151,Surigao Del Norte,29549.05,1247.26,1612.08,1661.1,1841.28,2165.7,2140.61,2507.27,2974,4042.52,9357.24,33771.92,1364.47,1597.9,1762.97,2065.47,2257.69,2316.28,2701.38,3174.05,4690.68,11841.03,45493.96,2203.94,2595.33,3070.12,2966.24,3480.79,3424.06,4163.94,4372.22,6445.93,12771.41,14.29,9.4,-0.88,6.13,12.18,4.25,8.21,7.74,6.73,16.03,26.54,34.71,61.52,62.42,74.14,43.61,54.17,47.83,54.14,37.75,37.42,7.86
152,Surigao Del Sur,34930.16,1449.63,1726.96,2118.75,2089.98,2272.51,2764.03,2999.14,3641.69,4805.33,11062.15,36851.32,1607.51,1867.47,2025.37,2324.69,2492.25,2589.73,3021.09,3664.09,5424.77,11834.37,38019.31,2400.64,2543.72,2747.15,2924.28,3127.74,3088.3,3525.9,3546.99,4688.68,9425.92,5.5,10.89,8.14,-4.41,11.23,9.67,-6.31,0.73,0.62,12.89,6.98,3.17,49.34,36.21,35.64,25.79,25.5,19.25,16.71,-3.2,-13.57,-20.35
153,Dinagat Islands,6043.75,268.52,360.73,379.99,428.1,446.72,497.19,497.01,593.81,771.57,1800.1,7328.39,326.13,399.55,394.97,480.54,503.23,541.83,655.99,805.72,995.86,2224.56,8148.63,388.18,463.72,511.83,534.33,593.98,726.48,759.07,843.92,1088.87,2238.24,21.26,21.45,10.76,3.94,12.25,12.65,8.98,31.99,35.69,29.07,23.58,11.19,19.03,16.06,29.59,11.19,18.03,34.08,15.71,4.74,9.34,0.61
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,119579.86,7465.75,8788.73,9021.27,9538.03,10006.82,10524.63,10904.85,12057.98,14590.14,26681.67,142660.13,8373.07,10105.38,11256.52,12637.04,13295.92,13886.08,14822.36,14850.97,16578.76,26854.03,173184.82,11431.24,13207.92,15333.35,15520.7,16501.03,16882.88,17030.41,17971.99,19384.36,29920.95,19.3,12.15,14.98,24.78,32.49,32.87,31.94,35.92,23.16,13.63,0.65,21.4,36.52,30.7,36.22,22.82,24.11,21.58,14.9,21.02,16.92,11.42
156,Basilan,8684.03,569.45,650.34,651.69,709.26,706.23,737.09,820.05,837.38,1050.93,1951.61,10711.96,658.78,762.15,801.24,825.73,910.09,961.02,947.61,1029,1224.39,2591.94,13790.29,1151.41,1159.9,1212.34,1317.87,1229.38,1317.52,1270.38,1323.92,1467.64,2339.93,23.35,15.69,17.19,22.95,16.42,28.87,30.38,15.55,22.88,16.51,32.81,28.74,74.78,52.19,51.31,59.6,35.08,37.1,34.06,28.66,19.87,-9.72
157,Lanao Del Sur,29124.44,1718.77,2063.39,2215.14,2242.02,2446.13,2620.45,2628.65,2903.76,3416.55,6869.59,43823.73,3862.04,4259.11,4091.22,4095.38,4236.25,4294.51,4109.15,4256.74,4418.53,6200.8,47807.66,4144.9,4324.88,4266.38,4317.47,4406.32,4286.28,4186.53,4465.23,4776.13,8633.56,50.47,124.7,106.41,84.69,82.67,73.18,63.88,56.32,46.59,29.33,-9.74,9.09,7.32,1.54,4.28,5.42,4.01,-0.19,1.88,4.9,8.09,39.23
158,Maguindanao ,34961.75,2062.87,2463.77,2535.25,2809.15,3058.75,3273.23,3247.63,3647.88,4412.16,7451.07,35870.12,2294.17,2596.3,2822.36,2878.99,3271.26,3343.21,3666.17,3724.5,3995.92,7277.25,36451.63,2970.07,3233.45,3196.17,3275.82,3489.41,3463.52,3511.52,3629.69,3887.83,5794.14,2.6,11.21,5.38,11.32,2.49,6.95,2.14,12.89,2.1,-9.43,-2.33,1.62,29.46,24.54,13.24,13.78,6.67,3.6,-4.22,-2.55,-2.7,-20.38
159,Maguindanao del Norte,,,,,,,,,,,,,,,,,,,,,,,18658.12,1518.88,1698.83,1676.9,1743.07,1836.23,1781.01,1840.75,1895.9,1964.5,2702.06,,,,,,,,,,,,,,,,,,,,,,
160,Maguindanao del Sur,,,,,,,,,,,,,,,,,,,,,,,17793.51,1451.19,1534.62,1519.27,1532.75,1653.19,1682.52,1670.77,1733.79,1923.33,3092.09,,,,,,,,,,,,,,,,,,,,,,
161,Sulu,20287.74,1758.95,1854.52,1914.01,1887.56,1931.47,1856.14,1883,1892.92,1961.3,3347.86,24633.83,1731.48,2260.21,2261.23,2402.86,2369.02,2420.55,2411.67,2464.67,2682.68,3629.46,36628.15,2813.36,3156.76,3138.29,3222.58,3327.69,3236.32,3769.96,3783.48,4427.33,5752.37,21.42,-1.56,21.88,18.14,27.3,22.65,30.41,28.08,30.2,36.78,8.41,48.69,62.48,39.67,38.79,34.11,40.47,33.7,56.32,53.51,65.03,58.49
162,Tawi-Tawi,12812.47,943.37,1012.5,1017.6,1087.47,1082.99,1213.92,1165.19,1326.92,1549.93,2412.58,13591.24,836.85,948.86,998.62,1084.68,1154.59,1224.35,1328.01,1457.85,1784.57,2772.86,13812.02,941.04,1013.44,1095.37,1203.72,1222.4,1296.47,1334.62,1561.75,1783.63,2359.58,6.08,-11.29,-6.29,-1.87,-0.26,6.61,0.86,13.97,9.87,15.14,14.93,1.62,12.45,6.81,9.69,10.98,5.87,5.89,0.5,7.13,-0.05,-14.9
163,Cotabato City,13709.42,750.61,855.77,898.12,1019.92,1021.38,1094.65,1252.62,1545.29,1941.06,3330,14029.24,788.98,878.54,940.8,1108.53,1197.05,1159.98,1273.69,1444.17,1659.03,3578.47,14353.22,1003.73,1114.46,1126.13,1145.5,1172.69,1278,1305.55,1534.12,1697.68,2975.36,2.33,5.11,2.66,4.75,8.69,17.2,5.97,1.68,-6.54,-14.53,7.46,2.31,27.22,26.85,19.7,3.33,-2.03,10.17,2.5,6.23,2.33,-16.85
164,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,p - Estimates are preliminary and may change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Details may not add up to total due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
