region_province_huc_by_sources_of_income,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.14,0.61,0.81,-0.53,0.2
Net Receipt From Family Sustenance Activities,1.35,1.99,1.72,0.64,-0.27
Received As Gifts,2.84,4.03,2.72,1.19,-1.31
Imputed Rent,4.9,7.56,5.92,2.66,-1.64
Oriental Mindoro,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,38.96,40.96,47.32,2.0,6.36
Entrepreneurial Activities,29.66,20.65,19.14,-9.01,-1.51
Cash Receipts From Abroad,10.22,9.02,9.12,-1.2,0.11
Cash Receipts From Domestic Sources,7.5,8.41,8.02,0.91,-0.39
Rentals Received,0.35,0.81,0.5,0.46,-0.3
Interest,0.12,0.07,0.37,-0.05,0.3
Pension,1.54,3.44,1.73,1.9,-1.71
Dividends,0.02,0.14,0.17,0.12,0.04
"Other Source Of Income, Nec",0.18,0.17,0.11,-0.01,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.07,1.13,0.94,0.06,-0.19
Net Receipt From Family Sustenance Activities,1.12,1.88,1.12,0.76,-0.76
Received As Gifts,3.63,5.25,3.31,1.62,-1.94
Imputed Rent,5.62,8.08,8.15,2.46,0.06
Palawan (excluding City Of Puerto Princesa),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.22,38.59,41.4,-3.63,2.81
Entrepreneurial Activities,32.99,34.64,37.98,1.65,3.34
Cash Receipts From Abroad,3.14,1.99,1.8,-1.15,-0.19
Cash Receipts From Domestic Sources,8.15,6.5,5.54,-1.65,-0.96
Rentals Received,0.13,0.86,0.29,0.73,-0.57
Interest,0.13,0.16,0.11,0.03,-0.05
Pension,1.51,1.41,1.06,-0.1,-0.36
Dividends,0.0,1.92,0.02,1.92,-1.9
"Other Source Of Income, Nec",0.04,0.07,0.1,0.03,0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.86,0.96,0.38,0.1,-0.58
Net Receipt From Family Sustenance Activities,2.29,2.45,1.79,0.16,-0.66
Received As Gifts,1.61,3.17,2.36,1.56,-0.81
Imputed Rent,6.92,7.3,7.18,0.38,-0.11
City Of Puerto Princesa,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.38,52.29,56.53,4.91,4.24
Entrepreneurial Activities,25.35,20.28,19.47,-5.07,-0.81
Cash Receipts From Abroad,5.87,3.64,3.19,-2.23,-0.45
Cash Receipts From Domestic Sources,5.49,4.71,4.28,-0.78,-0.44
Rentals Received,0.26,0.78,0.52,0.52,-0.27
Interest,0.01,0.02,0.03,0.01,0.01
Pension,2.84,4.41,3.58,1.57,-0.83
Dividends,0.03,0.01,0.01,-0.02,0.0
"Other Source Of Income, Nec",0.01,0.12,0.08,0.11,-0.03
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.09,0.09,0.11,0.0,0.02
Net Receipt From Family Sustenance Activities,0.56,0.59,0.58,0.03,-0.01
Received As Gifts,1.86,1.91,1.63,0.05,-0.28
Imputed Rent,10.24,11.15,10.0,0.91,-1.15
Romblon,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,38.72,46.36,53.74,7.64,7.38
Entrepreneurial Activities,32.95,21.25,19.58,-11.7,-1.67
Cash Receipts From Abroad,4.48,3.74,4.95,-0.74,1.21
Cash Receipts From Domestic Sources,9.37,12.66,8.87,3.29,-3.79
Rentals Received,0.16,0.23,0.1,0.07,-0.13
Interest,0.25,0.02,0.04,-0.23,0.02
Pension,2.9,4.02,3.67,1.12,-0.35
Dividends,0.0,0.03,0.04,0.03,0.01
"Other Source Of Income, Nec",0.09,0.01,0.02,-0.08,0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.65,0.69,0.27,0.04,-0.42
Net Receipt From Family Sustenance Activities,1.78,1.93,1.46,0.15,-0.47
Received As Gifts,2.73,1.86,1.01,-0.87,-0.85
Imputed Rent,5.92,7.21,6.26,1.29,-0.95
Region V - Bicol Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.59,45.99,49.35,2.4,3.37
Entrepreneurial Activities,22.15,19.91,20.57,-2.24,0.66
Cash Receipts From Abroad,6.22,5.14,6.18,-1.08,1.04
Cash Receipts From Domestic Sources,10.55,9.86,8.66,-0.69,-1.2
Rentals Received,0.39,0.46,0.53,0.07,0.07
Interest,0.1,0.1,0.1,0.0,0.0
Pension,3.48,3.36,2.36,-0.12,-0.99
Dividends,0.05,0.01,0.04,-0.04,0.03
"Other Source Of Income, Nec",0.06,0.25,0.3,0.19,0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.83,0.86,0.73,0.03,-0.13
Net Receipt From Family Sustenance Activities,1.63,2.04,1.07,0.41,-0.97
Received As Gifts,2.95,2.93,1.91,-0.02,-1.02
Imputed Rent,7.99,9.09,8.19,1.1,-0.91
Albay,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,46.66,48.93,51.63,2.27,2.7
Entrepreneurial Activities,17.13,15.39,15.52,-1.74,0.13
Cash Receipts From Abroad,6.65,4.63,5.69,-2.02,1.06
Cash Receipts From Domestic Sources,9.83,8.58,7.91,-1.25,-0.67
Rentals Received,0.52,0.58,0.53,0.06,-0.05
Interest,0.07,0.06,0.08,-0.01,0.02
Pension,4.96,5.04,4.31,0.08,-0.73
Dividends,0.02,0.02,0.01,0.0,-0.01
"Other Source Of Income, Nec",0.02,0.09,0.13,0.07,0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.54,0.73,0.34,0.19,-0.38
Net Receipt From Family Sustenance Activities,1.31,1.27,0.9,-0.04,-0.37
Received As Gifts,3.26,3.0,2.05,-0.26,-0.95
Imputed Rent,9.03,11.69,10.89,2.66,-0.8
Camarines Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.44,43.81,56.76,-0.63,12.94
Entrepreneurial Activities,21.25,24.5,16.29,3.25,-8.21
Cash Receipts From Abroad,7.24,5.55,5.34,-1.69,-0.22
Cash Receipts From Domestic Sources,10.06,9.27,8.44,-0.79,-0.83
Rentals Received,0.56,0.52,0.47,-0.04,-0.05
Interest,0.06,0.03,0.03,-0.03,0.0
Pension,3.15,2.47,1.63,-0.68,-0.84
Dividends,0.04,0.01,0.05,-0.03,0.04
"Other Source Of Income, Nec",0.15,0.46,0.3,0.31,-0.16
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.03,0.67,0.71,-0.36,0.04
Net Receipt From Family Sustenance Activities,1.36,1.47,1.11,0.11,-0.36
Received As Gifts,3.08,3.25,1.86,0.17,-1.39
Imputed Rent,7.58,7.99,7.03,0.41,-0.96
Camarines Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.54,49.49,48.25,7.95,-1.23
Entrepreneurial Activities,23.76,14.95,20.66,-8.81,5.71
Cash Receipts From Abroad,7.34,6.44,8.28,-0.9,1.83
Cash Receipts From Domestic Sources,9.39,9.65,8.49,0.26,-1.16
Rentals Received,0.19,0.37,0.77,0.18,0.4
Interest,0.07,0.2,0.09,0.13,-0.1
Pension,3.21,2.75,1.79,-0.46,-0.96
Dividends,0.13,0.0,0.07,-0.13,0.06
"Other Source Of Income, Nec",0.09,0.42,0.34,0.33,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.73,0.61,0.82,-0.12,0.21
Net Receipt From Family Sustenance Activities,1.71,2.61,0.9,0.9,-1.71
Received As Gifts,3.3,2.65,1.59,-0.65,-1.06
Imputed Rent,8.53,9.86,7.95,1.33,-1.91
Catanduanes,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,45.75,49.43,48.09,3.68,-1.33
Entrepreneurial Activities,18.01,14.56,17.97,-3.45,3.41
Cash Receipts From Abroad,6.22,5.77,6.24,-0.45,0.47
Cash Receipts From Domestic Sources,10.57,10.86,9.47,0.29,-1.38
Rentals Received,0.35,0.21,0.54,-0.14,0.33
Interest,0.0,0.01,0.06,0.01,0.04
Pension,4.29,5.04,3.0,0.75,-2.04
Dividends,0.0,0.0,0.05,0.0,0.05
"Other Source Of Income, Nec",0.02,0.01,0.22,-0.01,0.21
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.9,0.61,0.55,-0.29,-0.06
Net Receipt From Family Sustenance Activities,2.83,2.3,2.76,-0.53,0.46
Received As Gifts,3.2,3.33,2.68,0.13,-0.65
Imputed Rent,7.85,7.86,8.35,0.01,0.49
Masbate,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,40.16,34.18,40.08,-5.98,5.9
Entrepreneurial Activities,30.65,36.67,33.23,6.02,-3.44
Cash Receipts From Abroad,1.67,2.87,3.24,1.2,0.37
Cash Receipts From Domestic Sources,13.68,11.49,9.93,-2.19,-1.56
Rentals Received,0.39,0.49,0.25,0.1,-0.24
Interest,0.36,0.06,0.25,-0.3,0.19
Pension,2.03,1.74,1.31,-0.29,-0.43
Dividends,0.0,0.0,0.0,0.0,0.0
"Other Source Of Income, Nec",0.01,0.19,0.67,0.18,0.49
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.56,1.97,1.57,0.41,-0.4
Net Receipt From Family Sustenance Activities,2.0,2.52,1.49,0.52,-1.03
Received As Gifts,2.17,2.61,2.16,0.44,-0.45
Imputed Rent,5.34,5.22,5.81,-0.12,0.59
Sorsogon,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,45.08,43.82,52.51,-1.26,8.69
Entrepreneurial Activities,21.46,22.45,20.76,0.99,-1.68
Cash Receipts From Abroad,6.01,4.62,4.61,-1.39,-0.02
Cash Receipts From Domestic Sources,12.3,11.59,9.15,-0.71,-2.44
Rentals Received,0.57,0.47,0.15,-0.1,-0.32
Interest,0.04,0.1,0.09,0.06,0.0
Pension,2.77,3.13,2.0,0.36,-1.13
Dividends,0.01,0.01,0.01,0.0,-0.01
"Other Source Of Income, Nec",0.04,0.15,0.13,0.11,-0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.81,0.93,0.33,0.12,-0.6
Net Receipt From Family Sustenance Activities,1.44,2.19,0.83,0.75,-1.37
Received As Gifts,2.03,3.34,2.12,1.31,-1.22
Imputed Rent,7.44,7.21,7.31,-0.23,0.11
Region VI - Western Visayas,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.97,41.84,48.97,-0.13,7.13
Entrepreneurial Activities,19.61,17.75,15.73,-1.86,-2.02
Cash Receipts From Abroad,15.12,11.84,12.9,-3.28,1.06
Cash Receipts From Domestic Sources,6.95,7.71,6.54,0.76,-1.17
Rentals Received,0.4,0.39,0.27,-0.01,-0.12
Interest,0.05,0.03,0.05,-0.02,0.02
Pension,3.22,4.23,2.68,1.01,-1.55
Dividends,0.11,0.75,0.18,0.64,-0.57
"Other Source Of Income, Nec",0.01,0.14,0.03,0.13,-0.11
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.45,0.53,0.33,0.08,-0.2
Net Receipt From Family Sustenance Activities,1.7,1.9,1.63,0.2,-0.27
Received As Gifts,3.2,3.79,2.98,0.59,-0.81
Imputed Rent,7.2,9.1,7.71,1.9,-1.39
Aklan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.02,40.32,45.46,-2.7,5.14
Entrepreneurial Activities,19.81,18.86,19.39,-0.95,0.53
Cash Receipts From Abroad,8.81,7.93,8.35,-0.88,0.42
Cash Receipts From Domestic Sources,8.61,7.77,7.97,-0.84,0.2
Rentals Received,0.79,1.32,0.46,0.53,-0.86
Interest,0.12,0.0,0.0,-0.12,0.0
Pension,4.1,5.43,3.31,1.33,-2.13
Dividends,0.54,2.29,0.11,1.75,-2.18
"Other Source Of Income, Nec",0.0,0.06,0.0,0.06,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.49,0.42,0.51,-0.07,0.09
Net Receipt From Family Sustenance Activities,1.5,2.23,2.1,0.73,-0.13
Received As Gifts,3.35,3.36,3.7,0.01,0.34
Imputed Rent,8.86,9.99,8.64,1.13,-1.35
Antique,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.71,38.99,43.25,-2.72,4.26
Entrepreneurial Activities,18.34,20.22,17.54,1.88,-2.69
Cash Receipts From Abroad,15.43,11.82,12.11,-3.61,0.28
Cash Receipts From Domestic Sources,10.36,9.84,10.23,-0.52,0.39
Rentals Received,0.53,0.38,0.43,-0.15,0.06
Interest,0.0,0.04,0.12,0.04,0.09
Pension,3.59,3.71,3.61,0.12,-0.1
Dividends,0.01,0.04,0.05,0.03,0.02
"Other Source Of Income, Nec",0.01,0.16,0.0,0.15,-0.16
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.89,0.72,0.83,-0.17,0.11
Net Receipt From Family Sustenance Activities,2.27,2.91,2.26,0.64,-0.65
Received As Gifts,3.71,4.82,4.44,1.11,-0.39
Imputed Rent,3.14,6.35,5.12,3.21,-1.23
Capiz,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.48,42.86,46.92,-5.62,4.05
Entrepreneurial Activities,17.85,17.96,17.76,0.11,-0.2
Cash Receipts From Abroad,10.38,9.34,10.5,-1.04,1.16
Cash Receipts From Domestic Sources,9.02,9.2,8.6,0.18,-0.6
Rentals Received,0.02,0.07,0.16,0.05,0.1
Interest,0.0,0.1,0.07,0.1,-0.04
Pension,2.94,3.77,2.13,0.83,-1.64
Dividends,0.0,0.0,0.0,0.0,0.0
"Other Source Of Income, Nec",0.01,0.02,0.0,0.01,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.24,0.69,0.46,0.45,-0.23
Net Receipt From Family Sustenance Activities,2.01,2.28,1.89,0.27,-0.39
Received As Gifts,1.9,3.32,2.68,1.42,-0.64
Imputed Rent,7.14,10.38,8.81,3.24,-1.57
Iloilo (excluding City Of Iloilo),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,38.95,40.86,51.16,1.91,10.3
Entrepreneurial Activities,20.07,17.33,12.92,-2.74,-4.42
Cash Receipts From Abroad,18.7,14.13,15.6,-4.57,1.47
Cash Receipts From Domestic Sources,6.16,8.06,5.56,1.9,-2.5
Rentals Received,0.2,0.18,0.17,-0.02,-0.01
Interest,0.02,0.01,0.05,-0.01,0.05
Pension,2.82,4.01,2.2,1.19,-1.81
Dividends,0.02,0.23,0.03,0.21,-0.2
"Other Source Of Income, Nec",0.0,0.23,0.06,0.23,-0.16
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.43,0.61,0.15,0.18,-0.46
Net Receipt From Family Sustenance Activities,1.99,1.84,1.61,-0.15,-0.22
Received As Gifts,3.8,3.78,2.82,-0.02,-0.96
Imputed Rent,6.85,8.73,7.67,1.88,-1.06
City Of Iloilo,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.87,47.0,53.06,2.13,6.06
Entrepreneurial Activities,19.96,16.14,17.09,-3.82,0.94
Cash Receipts From Abroad,13.74,11.31,12.52,-2.43,1.21
Cash Receipts From Domestic Sources,3.4,3.24,2.35,-0.16,-0.9
Rentals Received,1.02,0.56,0.36,-0.46,-0.2
Interest,0.02,0.0,0.02,-0.02,0.02
Pension,3.96,5.51,3.53,1.55,-1.98
Dividends,0.24,2.69,1.19,2.45,-1.49
"Other Source Of Income, Nec",0.01,0.01,0.05,0.0,0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.22,0.07,0.06,-0.15,-0.01
Net Receipt From Family Sustenance Activities,0.11,0.16,0.11,0.05,-0.04
Received As Gifts,2.2,2.53,1.4,0.33,-1.13
Imputed Rent,10.24,10.79,8.26,0.55,-2.53
Guimaras,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,37.94,45.34,49.15,7.4,3.8
Entrepreneurial Activities,22.85,15.87,16.81,-6.98,0.93
Cash Receipts From Abroad,17.59,10.02,11.37,-7.57,1.35
Cash Receipts From Domestic Sources,6.34,6.35,6.69,0.01,0.35
Rentals Received,0.11,0.36,0.18,0.25,-0.18
Interest,0.52,0.09,0.08,-0.43,-0.01
Pension,2.02,1.48,2.47,-0.54,0.99
Dividends,0.02,0.0,0.0,-0.02,0.0
"Other Source Of Income, Nec",0.0,0.25,0.0,0.25,-0.25
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.1,0.41,0.45,-0.69,0.04
Net Receipt From Family Sustenance Activities,2.21,3.11,2.03,0.9,-1.08
Received As Gifts,3.29,9.16,4.07,5.87,-5.09
Imputed Rent,6.01,7.55,6.7,1.54,-0.85
Negros Island Region,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,45.56,50.04,55.12,4.48,5.08
Entrepreneurial Activities,18.68,16.86,15.74,-1.82,-1.12
Cash Receipts From Abroad,10.46,7.36,7.61,-3.1,0.25
Cash Receipts From Domestic Sources,6.82,6.79,5.86,-0.03,-0.93
Rentals Received,0.22,0.36,0.31,0.14,-0.05
Interest,0.03,0.03,0.06,0.0,0.03
Pension,4.88,3.99,3.59,-0.89,-0.4
Dividends,0.21,0.1,0.19,-0.11,0.09
"Other Source Of Income, Nec",0.04,0.18,0.16,0.14,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.22,0.47,0.23,0.25,-0.24
Net Receipt From Family Sustenance Activities,1.71,2.12,1.42,0.41,-0.7
Received As Gifts,2.63,2.78,1.54,0.15,-1.24
Imputed Rent,8.54,8.92,8.18,0.38,-0.74
Negros Occidental (excluding City Of Bacolod),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.58,50.92,55.48,3.34,4.56
Entrepreneurial Activities,17.9,16.07,16.14,-1.83,0.06
Cash Receipts From Abroad,9.29,6.93,7.08,-2.36,0.15
Cash Receipts From Domestic Sources,8.05,7.98,6.12,-0.07,-1.86
Rentals Received,0.14,0.22,0.28,0.08,0.06
Interest,0.03,0.05,0.06,0.02,0.01
Pension,5.13,4.51,3.52,-0.62,-0.99
Dividends,0.01,0.0,0.01,-0.01,0.01
"Other Source Of Income, Nec",0.01,0.12,0.17,0.11,0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.18,0.31,0.23,0.13,-0.09
Net Receipt From Family Sustenance Activities,2.11,2.26,1.71,0.15,-0.55
Received As Gifts,2.59,3.04,1.56,0.45,-1.47
Imputed Rent,6.98,7.59,7.65,0.61,0.06
City Of Bacolod,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.45,53.18,61.6,4.73,8.42
Entrepreneurial Activities,17.38,13.82,14.21,-3.56,0.39
Cash Receipts From Abroad,11.93,10.6,7.63,-1.33,-2.97
Cash Receipts From Domestic Sources,3.78,4.34,3.24,0.56,-1.1
Rentals Received,0.3,0.51,0.09,0.21,-0.42
Interest,0.07,0.02,0.02,-0.05,0.01
Pension,4.68,3.87,3.23,-0.81,-0.63
Dividends,1.06,0.06,0.05,-1.0,-0.01
"Other Source Of Income, Nec",0.0,0.15,0.11,0.15,-0.04
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.04,0.01,0.13,-0.03,0.12
Net Receipt From Family Sustenance Activities,0.24,0.16,0.1,-0.08,-0.07
Received As Gifts,2.17,1.58,1.0,-0.59,-0.58
Imputed Rent,9.91,11.72,8.6,1.81,-3.12
Negros Oriental,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.56,47.39,52.12,5.83,4.73
Entrepreneurial Activities,20.47,20.07,15.78,-0.4,-4.29
Cash Receipts From Abroad,11.02,5.82,7.81,-5.2,1.99
Cash Receipts From Domestic Sources,6.61,6.24,6.8,-0.37,0.56
Rentals Received,0.27,0.46,0.46,0.19,0.0
Interest,0.01,0.01,0.08,0.0,0.08
Pension,4.75,3.12,3.66,-1.63,0.54
Dividends,0.05,0.25,0.59,0.2,0.34
"Other Source Of Income, Nec",0.11,0.3,0.16,0.19,-0.13
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.37,0.99,0.27,0.62,-0.72
Net Receipt From Family Sustenance Activities,1.79,2.98,1.6,1.19,-1.38
Received As Gifts,2.82,2.94,1.61,0.12,-1.33
Imputed Rent,10.15,9.43,9.04,-0.72,-0.39
Siquijor,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,37.01,43.3,40.5,6.29,-2.8
Entrepreneurial Activities,20.23,15.42,17.46,-4.81,2.04
Cash Receipts From Abroad,14.36,10.08,14.84,-4.28,4.76
Cash Receipts From Domestic Sources,8.44,8.42,7.25,-0.02,-1.18
Rentals Received,0.58,0.73,0.6,0.15,-0.14
Interest,0.04,0.11,0.04,0.07,-0.07
Pension,3.35,5.43,6.12,2.08,0.69
Dividends,0.0,0.57,0.02,0.57,-0.55
"Other Source Of Income, Nec",0.02,0.06,0.16,0.04,0.1
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.53,0.52,0.6,-0.01,0.07
Net Receipt From Family Sustenance Activities,3.79,3.27,2.42,-0.52,-0.86
Received As Gifts,4.13,4.34,3.66,0.21,-0.68
Imputed Rent,7.53,7.75,6.34,0.22,-1.4
Region VII - Central Visayas,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,49.69,53.53,58.2,3.84,4.67
Entrepreneurial Activities,18.56,14.42,14.16,-4.14,-0.26
Cash Receipts From Abroad,11.14,7.88,8.99,-3.26,1.11
Cash Receipts From Domestic Sources,4.8,4.17,3.98,-0.63,-0.19
Rentals Received,0.77,0.91,0.48,0.14,-0.43
Interest,0.05,0.03,0.13,-0.02,0.1
Pension,2.75,3.2,2.33,0.45,-0.87
Dividends,0.12,0.52,0.22,0.4,-0.3
"Other Source Of Income, Nec",0.01,0.14,0.13,0.13,-0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.24,0.34,0.22,0.1,-0.12
Net Receipt From Family Sustenance Activities,0.91,1.31,0.77,0.4,-0.54
Received As Gifts,2.0,2.44,1.23,0.44,-1.21
Imputed Rent,8.97,11.11,9.18,2.14,-1.93
Bohol,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,37.98,47.14,49.15,9.16,2.01
Entrepreneurial Activities,19.16,14.07,15.83,-5.09,1.75
Cash Receipts From Abroad,15.37,11.79,10.58,-3.58,-1.21
Cash Receipts From Domestic Sources,6.94,6.18,5.99,-0.76,-0.19
Rentals Received,1.11,0.32,0.21,-0.79,-0.12
Interest,0.1,0.1,0.17,0.0,0.07
Pension,3.94,3.55,4.9,-0.39,1.34
Dividends,0.16,0.03,0.03,-0.13,0.0
"Other Source Of Income, Nec",0.01,0.18,0.19,0.17,0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.78,0.94,0.42,0.16,-0.52
Net Receipt From Family Sustenance Activities,2.08,2.26,1.8,0.18,-0.46
Received As Gifts,3.42,2.83,2.19,-0.59,-0.63
Imputed Rent,8.95,10.6,8.56,1.65,-2.05
Cebu (excluding The Cities Of Cebu Lapu-lapu And Mandaue),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,52.66,50.74,57.86,-1.92,7.12
Entrepreneurial Activities,16.86,16.8,13.88,-0.06,-2.93
Cash Receipts From Abroad,11.13,8.21,10.64,-2.92,2.44
Cash Receipts From Domestic Sources,5.52,4.78,4.17,-0.74,-0.61
Rentals Received,0.28,0.87,0.26,0.59,-0.6
Interest,0.01,0.02,0.18,0.01,0.16
Pension,1.86,2.86,1.76,1.0,-1.1
Dividends,0.06,0.8,0.11,0.74,-0.69
"Other Source Of Income, Nec",0.01,0.08,0.16,0.07,0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.15,0.38,0.31,0.23,-0.07
Net Receipt From Family Sustenance Activities,1.08,1.83,0.87,0.75,-0.97
Received As Gifts,1.96,2.68,1.21,0.72,-1.46
Imputed Rent,8.43,9.94,8.58,1.51,-1.36
City Of Cebu,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.32,59.18,63.78,10.86,4.6
Entrepreneurial Activities,25.54,11.02,14.4,-14.52,3.38
Cash Receipts From Abroad,7.69,5.06,4.78,-2.63,-0.28
Cash Receipts From Domestic Sources,3.06,3.0,2.63,-0.06,-0.37
Rentals Received,0.86,1.4,0.78,0.54,-0.62
Interest,0.13,0.02,0.05,-0.11,0.03
Pension,3.72,2.94,1.88,-0.78,-1.06
Dividends,0.05,0.1,0.49,0.05,0.39
"Other Source Of Income, Nec",0.0,0.16,0.01,0.16,-0.15
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.06,0.02,0.04,-0.04,0.02
Net Receipt From Family Sustenance Activities,0.09,0.23,0.17,0.14,-0.05
Received As Gifts,1.43,2.34,0.63,0.91,-1.72
Imputed Rent,9.06,14.54,10.37,5.48,-4.17
City Of Lapu-lapu (opon),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,56.69,57.64,59.08,0.95,1.45
Entrepreneurial Activities,13.06,12.0,13.43,-1.06,1.43
Cash Receipts From Abroad,13.13,7.94,9.53,-5.19,1.59
Cash Receipts From Domestic Sources,2.49,2.19,3.12,-0.3,0.92
Rentals Received,0.79,0.87,0.54,0.08,-0.33
Interest,0.01,0.03,0.06,0.02,0.03
Pension,2.15,5.26,1.2,3.11,-4.05
Dividends,0.01,0.35,0.11,0.34,-0.24
"Other Source Of Income, Nec",0.0,0.4,0.11,0.4,-0.3
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.03,0.01,0.02,-0.02,0.01
Net Receipt From Family Sustenance Activities,0.28,0.39,0.2,0.11,-0.19
Received As Gifts,1.03,1.36,0.99,0.33,-0.37
Imputed Rent,10.34,11.58,11.62,1.24,0.04
City Of Mandaue,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,57.64,63.67,65.57,6.03,1.9
Entrepreneurial Activities,13.53,12.77,12.82,-0.76,0.05
Cash Receipts From Abroad,8.12,4.32,5.15,-3.8,0.83
Cash Receipts From Domestic Sources,3.15,2.02,2.73,-1.13,0.7
Rentals Received,2.35,1.27,1.41,-1.08,0.14
Interest,0.02,0.01,0.02,-0.01,0.01
Pension,2.69,2.17,2.27,-0.52,0.1
