region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Durable Furniture And Equipment,3.96,2.91,2.89,-1.05,-0.02
Special Family Occasion,3.23,1.98,2.78,-1.24,0.8
Other Expenditures,2.2,1.69,2.42,-0.51,0.74
Aurora,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.38,44.32,43.15,-1.06,-1.17
Food Consumed At Home,39.76,42.85,39.8,3.09,-3.05
Food Regularly Consumed Outside The Home,5.62,1.47,3.35,-4.15,1.88
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.1,2.61,1.7,0.51,-0.92
Clothing And Footwear,3.5,2.1,2.42,-1.4,0.32
"Housing, Water, Electricity, Gas And Other Fuels",14.71,17.67,17.0,2.96,-0.67
Furnishings And Routine Household Maintenance,2.57,2.02,2.67,-0.55,0.65
Health,3.41,3.04,3.49,-0.37,0.45
Transport,5.45,5.14,6.0,-0.31,0.86
Information And Communication,1.62,3.73,3.52,2.11,-0.21
"Recreation, Sport And Culture",0.88,0.49,0.92,-0.39,0.43
Education,3.04,1.64,2.45,-1.4,0.81
Hotels (accommodation Services),0.1,0.01,0.1,-0.1,0.09
Insurance And Financial Services,0.0,2.96,2.14,2.96,-0.82
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.13,4.88,4.57,-2.25,-0.32
Durable Furniture And Equipment,5.52,4.36,3.87,-1.16,-0.5
Special Family Occasion,2.78,2.67,3.15,-0.11,0.49
Other Expenditures,1.81,2.36,2.85,0.55,0.48
Bataan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.15,40.73,40.88,-0.42,0.16
Food Consumed At Home,31.86,37.15,35.77,5.29,-1.38
Food Regularly Consumed Outside The Home,9.28,3.58,5.11,-5.71,1.54
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.6,1.56,1.25,-0.04,-0.31
Clothing And Footwear,2.93,1.4,1.75,-1.53,0.35
"Housing, Water, Electricity, Gas And Other Fuels",19.66,23.51,23.33,3.85,-0.18
Furnishings And Routine Household Maintenance,2.31,2.31,2.59,0.0,0.28
Health,3.49,4.93,3.69,1.44,-1.24
Transport,7.19,5.71,8.04,-1.49,2.33
Information And Communication,2.4,3.72,3.41,1.32,-0.31
"Recreation, Sport And Culture",0.75,0.45,0.72,-0.3,0.27
Education,1.98,1.32,3.11,-0.66,1.78
Hotels (accommodation Services),0.1,0.12,0.03,0.02,-0.09
Insurance And Financial Services,0.0,3.16,2.45,3.16,-0.7
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.01,4.58,3.91,-2.43,-0.66
Durable Furniture And Equipment,4.92,3.29,1.23,-1.64,-2.05
Special Family Occasion,2.61,1.7,2.09,-0.91,0.39
Other Expenditures,1.91,1.53,1.5,-0.38,-0.03
Bulacan,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.89,41.76,39.46,2.88,-2.31
Food Consumed At Home,28.87,37.34,33.43,8.47,-3.91
Food Regularly Consumed Outside The Home,10.02,4.42,6.02,-5.59,1.59
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,2.09,2.08,1.76,-0.01,-0.32
Clothing And Footwear,2.12,1.1,2.11,-1.02,1.0
"Housing, Water, Electricity, Gas And Other Fuels",19.67,23.66,20.53,3.99,-3.13
Furnishings And Routine Household Maintenance,2.19,1.88,2.53,-0.31,0.65
Health,3.89,3.81,3.08,-0.08,-0.73
Transport,8.1,6.16,7.34,-1.93,1.18
Information And Communication,2.59,3.9,3.62,1.31,-0.28
"Recreation, Sport And Culture",0.67,0.38,1.38,-0.29,1.01
Education,2.29,1.62,3.83,-0.67,2.21
Hotels (accommodation Services),0.08,0.05,0.07,-0.03,0.02
Insurance And Financial Services,0.0,3.22,2.74,3.22,-0.48
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.7,4.92,3.75,-1.79,-1.16
Durable Furniture And Equipment,5.78,3.17,3.43,-2.61,0.26
Special Family Occasion,2.77,1.15,2.22,-1.62,1.07
Other Expenditures,2.16,1.13,2.15,-1.02,1.02
Nueva Ecija,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.29,42.81,40.65,-2.48,-2.17
Food Consumed At Home,35.09,40.92,37.15,5.82,-3.76
Food Regularly Consumed Outside The Home,10.19,1.89,3.49,-8.3,1.6
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.75,1.99,1.95,-0.76,-0.04
Clothing And Footwear,2.34,1.27,1.99,-1.06,0.71
"Housing, Water, Electricity, Gas And Other Fuels",19.4,27.64,19.64,8.24,-8.0
Furnishings And Routine Household Maintenance,2.24,1.76,2.45,-0.48,0.69
Health,3.33,2.93,2.37,-0.4,-0.56
Transport,6.09,5.09,5.72,-1.01,0.64
Information And Communication,1.96,3.37,3.64,1.41,0.28
"Recreation, Sport And Culture",0.65,0.22,0.54,-0.42,0.31
Education,2.0,0.84,3.02,-1.16,2.18
Hotels (accommodation Services),0.25,0.05,0.01,-0.2,-0.04
Insurance And Financial Services,0.0,2.54,1.73,2.54,-0.82
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.2,4.6,3.83,-1.6,-0.77
Durable Furniture And Equipment,2.76,1.67,3.56,-1.09,1.88
Special Family Occasion,3.11,1.64,3.93,-1.47,2.3
Other Expenditures,1.64,1.58,4.98,-0.06,3.4
Pampanga (excluding City Of Angeles),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.37,43.74,41.13,-1.63,-2.61
Food Consumed At Home,33.63,39.98,36.83,6.36,-3.16
Food Regularly Consumed Outside The Home,11.74,3.75,4.3,-7.99,0.55
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,3.13,1.57,1.53,-1.56,-0.04
Clothing And Footwear,2.53,1.71,2.39,-0.83,0.68
"Housing, Water, Electricity, Gas And Other Fuels",17.55,23.57,23.38,6.02,-0.18
Furnishings And Routine Household Maintenance,2.07,1.72,2.51,-0.35,0.79
Health,2.35,3.07,3.01,0.72,-0.06
Transport,6.97,5.36,5.96,-1.61,0.6
Information And Communication,2.57,3.62,3.58,1.05,-0.04
"Recreation, Sport And Culture",0.51,0.34,1.02,-0.17,0.68
Education,1.94,1.13,2.11,-0.81,0.97
Hotels (accommodation Services),0.08,0.01,0.01,-0.07,0.01
Insurance And Financial Services,0.0,2.11,1.68,2.11,-0.44
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.91,4.44,3.6,-1.47,-0.84
Durable Furniture And Equipment,2.49,3.0,2.93,0.51,-0.08
Special Family Occasion,4.19,2.83,3.36,-1.35,0.52
Other Expenditures,2.35,1.79,1.81,-0.56,0.02
City Of Angeles,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,40.88,37.31,37.83,-3.57,0.52
Food Consumed At Home,29.85,32.93,32.72,3.08,-0.21
Food Regularly Consumed Outside The Home,11.03,4.37,5.1,-6.66,0.73
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.51,1.58,1.14,-0.93,-0.43
Clothing And Footwear,2.4,1.43,2.5,-0.97,1.07
"Housing, Water, Electricity, Gas And Other Fuels",22.54,30.01,27.91,7.46,-2.1
Furnishings And Routine Household Maintenance,2.28,1.89,2.61,-0.39,0.72
Health,2.31,2.91,2.65,0.6,-0.26
Transport,7.03,5.63,6.37,-1.4,0.74
Information And Communication,2.81,3.84,4.0,1.02,0.17
"Recreation, Sport And Culture",0.52,0.39,0.93,-0.13,0.54
Education,1.81,1.22,2.28,-0.59,1.05
Hotels (accommodation Services),0.01,0.01,0.01,0.0,0.0
Insurance And Financial Services,0.0,1.78,1.79,1.78,0.0
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.0,5.19,4.51,-0.81,-0.68
Durable Furniture And Equipment,3.46,1.64,1.16,-1.82,-0.48
Special Family Occasion,3.29,2.32,2.35,-0.97,0.03
Other Expenditures,2.14,2.86,1.97,0.72,-0.89
Tarlac,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.04,42.06,41.79,-3.98,-0.27
Food Consumed At Home,36.52,38.6,36.32,2.07,-2.27
Food Regularly Consumed Outside The Home,9.51,3.46,5.47,-6.05,2.01
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.49,2.32,1.82,-0.16,-0.5
Clothing And Footwear,2.97,2.31,2.04,-0.66,-0.26
"Housing, Water, Electricity, Gas And Other Fuels",16.66,19.89,21.3,3.24,1.41
Furnishings And Routine Household Maintenance,2.21,2.36,2.58,0.15,0.22
Health,2.41,4.99,2.97,2.59,-2.03
Transport,7.06,5.56,7.02,-1.5,1.45
Information And Communication,2.05,3.29,3.31,1.24,0.02
"Recreation, Sport And Culture",0.48,0.37,0.68,-0.11,0.31
Education,1.87,1.22,2.8,-0.64,1.57
Hotels (accommodation Services),0.18,0.03,0.1,-0.15,0.07
Insurance And Financial Services,0.0,2.71,2.29,2.71,-0.43
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.66,4.92,4.4,-1.74,-0.51
Durable Furniture And Equipment,2.96,4.16,2.96,1.19,-1.2
Special Family Occasion,3.35,2.13,2.46,-1.22,0.33
Other Expenditures,2.63,1.67,1.48,-0.96,-0.18
Zambales (excluding City Of Olongapo),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,44.27,43.83,41.69,-0.45,-2.14
Food Consumed At Home,36.92,40.65,39.47,3.73,-1.18
Food Regularly Consumed Outside The Home,7.36,3.18,2.21,-4.18,-0.96
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,2.11,1.83,1.17,-0.28,-0.67
Clothing And Footwear,2.24,1.45,1.92,-0.79,0.47
"Housing, Water, Electricity, Gas And Other Fuels",19.1,22.63,22.81,3.53,0.19
Furnishings And Routine Household Maintenance,2.31,1.78,2.69,-0.54,0.92
Health,2.51,3.1,2.76,0.59,-0.34
Transport,6.5,5.43,6.57,-1.07,1.14
Information And Communication,2.06,3.45,3.79,1.39,0.35
"Recreation, Sport And Culture",0.86,0.36,1.74,-0.49,1.38
Education,1.65,0.62,3.25,-1.04,2.63
Hotels (accommodation Services),0.2,0.02,0.03,-0.18,0.01
Insurance And Financial Services,0.0,2.47,1.49,2.47,-0.97
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.08,4.82,3.95,-1.26,-0.87
Durable Furniture And Equipment,4.39,2.3,1.9,-2.08,-0.41
Special Family Occasion,3.4,3.12,2.13,-0.28,-0.99
Other Expenditures,2.32,2.8,2.12,0.48,-0.67
City Of Olongapo,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,39.04,36.55,35.16,-2.48,-1.4
Food Consumed At Home,30.05,32.27,31.53,2.21,-0.74
Food Regularly Consumed Outside The Home,8.98,4.29,3.61,-4.7,-0.67
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.02,0.0,0.02
Alcoholic Beverages And Tobacco,1.99,1.4,1.3,-0.59,-0.11
Clothing And Footwear,2.57,1.42,1.92,-1.15,0.5
"Housing, Water, Electricity, Gas And Other Fuels",24.21,29.82,29.46,5.61,-0.36
Furnishings And Routine Household Maintenance,2.15,2.01,3.18,-0.14,1.17
Health,2.33,3.06,3.38,0.73,0.32
Transport,5.62,4.73,5.98,-0.88,1.25
Information And Communication,2.78,4.31,4.47,1.53,0.16
"Recreation, Sport And Culture",1.05,0.46,1.44,-0.59,0.98
Education,2.64,0.73,2.14,-1.9,1.41
Hotels (accommodation Services),0.07,0.04,0.01,-0.03,-0.03
Insurance And Financial Services,0.0,3.84,2.78,3.84,-1.06
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.66,4.4,3.69,-2.26,-0.71
Durable Furniture And Equipment,2.7,2.19,0.98,-0.51,-1.22
Special Family Occasion,2.32,2.24,2.06,-0.09,-0.17
Other Expenditures,3.88,2.79,2.06,-1.09,-0.73
Region IVA - Calabarzon,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,39.95,41.38,38.98,1.42,-2.39
Food Consumed At Home,29.45,35.77,32.48,6.31,-3.29
Food Regularly Consumed Outside The Home,10.5,5.61,6.5,-4.89,0.9
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.88,2.04,1.42,0.15,-0.61
Clothing And Footwear,2.51,1.27,1.85,-1.24,0.58
"Housing, Water, Electricity, Gas And Other Fuels",19.79,23.71,23.65,3.93,-0.06
Furnishings And Routine Household Maintenance,2.35,1.79,2.61,-0.57,0.82
Health,3.01,3.66,3.51,0.66,-0.16
Transport,7.52,5.74,7.49,-1.77,1.74
Information And Communication,2.63,3.87,3.73,1.24,-0.14
"Recreation, Sport And Culture",0.83,0.48,0.87,-0.36,0.39
Education,3.04,1.87,3.01,-1.17,1.14
Hotels (accommodation Services),0.27,0.1,0.12,-0.17,0.02
Insurance And Financial Services,0.0,3.61,3.32,3.61,-0.29
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.84,4.22,3.72,-2.62,-0.5
Durable Furniture And Equipment,3.97,2.32,1.9,-1.65,-0.42
Special Family Occasion,2.31,1.71,1.74,-0.6,0.02
Other Expenditures,3.1,2.23,2.08,-0.87,-0.15
Batangas,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,39.26,39.08,35.53,-0.17,-3.56
Food Consumed At Home,28.23,36.44,32.84,8.21,-3.59
Food Regularly Consumed Outside The Home,11.03,2.65,2.68,-8.38,0.04
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.51,3.0,1.31,1.49,-1.69
Clothing And Footwear,2.64,1.28,1.73,-1.36,0.45
"Housing, Water, Electricity, Gas And Other Fuels",21.09,24.1,24.72,3.0,0.62
Furnishings And Routine Household Maintenance,2.65,1.75,2.46,-0.9,0.71
Health,3.07,4.62,5.23,1.55,0.6
Transport,7.94,5.64,7.53,-2.3,1.89
Information And Communication,2.87,3.84,3.87,0.97,0.03
"Recreation, Sport And Culture",0.75,0.73,1.11,-0.02,0.39
Education,3.2,2.25,5.19,-0.96,2.95
Hotels (accommodation Services),0.42,0.05,0.11,-0.37,0.07
Insurance And Financial Services,0.0,3.46,2.57,3.46,-0.89
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.96,4.71,3.45,-3.25,-1.26
Durable Furniture And Equipment,1.75,1.99,1.51,0.24,-0.48
Special Family Occasion,3.24,1.89,2.24,-1.35,0.36
Other Expenditures,1.66,1.62,1.44,-0.04,-0.18
Cavite,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.47,40.32,37.99,1.85,-2.33
Food Consumed At Home,28.96,33.16,31.58,4.2,-1.57
Food Regularly Consumed Outside The Home,9.52,7.16,6.41,-2.36,-0.75
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.9,1.6,1.16,-0.29,-0.44
Clothing And Footwear,2.53,1.2,2.24,-1.33,1.05
"Housing, Water, Electricity, Gas And Other Fuels",20.15,23.85,25.63,3.7,1.78
Furnishings And Routine Household Maintenance,2.03,1.58,2.27,-0.45,0.69
Health,3.05,3.8,3.28,0.75,-0.52
Transport,7.76,5.91,7.2,-1.85,1.29
Information And Communication,2.73,4.23,3.99,1.49,-0.24
"Recreation, Sport And Culture",0.67,0.47,0.99,-0.2,0.52
Education,3.03,2.11,2.69,-0.92,0.58
Hotels (accommodation Services),0.13,0.1,0.06,-0.02,-0.05
Insurance And Financial Services,0.0,4.09,3.58,4.09,-0.51
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.69,3.87,3.85,-2.83,-0.01
Durable Furniture And Equipment,4.88,2.31,2.07,-2.57,-0.25
Special Family Occasion,1.91,1.55,1.22,-0.36,-0.34
Other Expenditures,4.07,3.0,1.79,-1.07,-1.21
Laguna,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.18,41.16,39.69,-0.02,-1.46
Food Consumed At Home,30.54,37.14,33.07,6.6,-4.07
Food Regularly Consumed Outside The Home,10.64,4.01,6.62,-6.63,2.61
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.0,1.94,1.48,-0.07,-0.45
Clothing And Footwear,2.35,1.35,1.74,-1.0,0.39
"Housing, Water, Electricity, Gas And Other Fuels",19.18,23.79,22.44,4.61,-1.35
Furnishings And Routine Household Maintenance,2.38,1.91,2.56,-0.47,0.65
Health,2.88,3.44,3.29,0.56,-0.14
Transport,7.31,6.18,7.43,-1.13,1.25
Information And Communication,2.63,3.84,3.53,1.21,-0.31
"Recreation, Sport And Culture",0.87,0.38,0.65,-0.49,0.27
Education,3.01,1.54,2.77,-1.47,1.22
Hotels (accommodation Services),0.22,0.08,0.19,-0.15,0.12
Insurance And Financial Services,0.0,3.61,3.8,3.61,0.19
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.8,4.84,3.7,-1.96,-1.14
Durable Furniture And Equipment,4.46,3.02,2.96,-1.44,-0.07
Special Family Occasion,2.13,1.37,1.35,-0.76,-0.02
Other Expenditures,2.6,1.55,2.42,-1.05,0.87
Quezon (excluding City Of Lucena),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.81,45.96,47.3,0.15,1.34
Food Consumed At Home,34.97,43.11,39.74,8.14,-3.37
Food Regularly Consumed Outside The Home,10.85,2.85,7.55,-8.0,4.71
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.2,2.08,1.83,-0.12,-0.24
Clothing And Footwear,2.99,1.7,1.79,-1.28,0.09
"Housing, Water, Electricity, Gas And Other Fuels",16.37,19.49,18.12,3.12,-1.38
Furnishings And Routine Household Maintenance,2.24,1.98,2.46,-0.26,0.48
Health,3.14,4.54,3.88,1.4,-0.67
Transport,5.33,4.37,5.04,-0.96,0.67
Information And Communication,1.89,3.34,2.89,1.45,-0.45
"Recreation, Sport And Culture",1.24,0.5,0.85,-0.74,0.35
Education,2.57,1.62,2.64,-0.95,1.02
Hotels (accommodation Services),0.57,0.17,0.11,-0.41,-0.06
Insurance And Financial Services,0.0,2.75,2.34,2.75,-0.41
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.77,4.96,4.35,-1.8,-0.61
Durable Furniture And Equipment,3.33,2.39,1.87,-0.94,-0.52
Special Family Occasion,3.12,2.7,2.69,-0.42,-0.01
Other Expenditures,2.42,1.42,1.83,-1.0,0.42
City Of Lucena,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.86,44.89,43.73,2.03,-1.16
Food Consumed At Home,29.67,38.1,35.47,8.43,-2.63
Food Regularly Consumed Outside The Home,13.19,6.79,8.26,-6.4,1.47
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,2.46,1.72,1.52,-0.74,-0.2
Clothing And Footwear,2.42,1.44,1.93,-0.98,0.49
"Housing, Water, Electricity, Gas And Other Fuels",18.63,21.63,22.55,3.0,0.91
Furnishings And Routine Household Maintenance,2.27,1.87,2.67,-0.4,0.8
Health,3.75,3.55,3.27,-0.2,-0.28
Transport,5.26,4.71,5.73,-0.55,1.02
Information And Communication,2.51,3.54,3.53,1.04,-0.01
"Recreation, Sport And Culture",1.37,0.62,0.76,-0.75,0.14
Education,2.66,2.42,3.16,-0.24,0.74
Hotels (accommodation Services),0.33,0.04,0.1,-0.29,0.06
Insurance And Financial Services,0.0,3.84,2.39,3.84,-1.45
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.78,3.88,3.45,-2.9,-0.43
Durable Furniture And Equipment,3.67,2.28,1.74,-1.38,-0.54
Special Family Occasion,2.83,1.9,2.09,-0.93,0.18
Other Expenditures,2.19,1.66,1.37,-0.53,-0.29
Rizal,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.74,42.85,38.7,4.11,-4.15
Food Consumed At Home,27.78,34.52,29.7,6.74,-4.82
Food Regularly Consumed Outside The Home,10.96,8.33,9.0,-2.63,0.67
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.0
Alcoholic Beverages And Tobacco,1.83,1.99,1.61,0.17,-0.38
Clothing And Footwear,2.4,1.12,1.62,-1.29,0.5
"Housing, Water, Electricity, Gas And Other Fuels",20.4,24.89,23.88,4.49,-1.0
Furnishings And Routine Household Maintenance,2.6,1.89,3.25,-0.71,1.36
Health,2.94,2.64,2.56,-0.3,-0.08
Transport,8.07,5.74,8.93,-2.33,3.19
Information And Communication,2.6,3.65,3.85,1.05,0.21
"Recreation, Sport And Culture",0.89,0.38,0.78,-0.51,0.4
Education,3.16,1.63,2.1,-1.53,0.47
Hotels (accommodation Services),0.31,0.13,0.14,-0.18,0.01
Insurance And Financial Services,0.0,3.38,3.48,3.38,0.09
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.37,3.44,3.58,-2.93,0.14
Durable Furniture And Equipment,3.98,1.84,0.78,-2.14,-1.06
Special Family Occasion,2.09,1.75,2.04,-0.34,0.29
Other Expenditures,3.62,2.68,2.69,-0.93,0.01
Mimaropa Region,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.97,42.72,42.1,-4.25,-0.62
Food Consumed At Home,41.72,41.85,39.23,0.14,-2.62
Food Regularly Consumed Outside The Home,5.25,0.86,2.86,-4.39,2.0
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.76,1.96,1.52,0.19,-0.44
Clothing And Footwear,3.27,2.11,2.21,-1.17,0.1
"Housing, Water, Electricity, Gas And Other Fuels",17.75,20.35,19.9,2.6,-0.45
Furnishings And Routine Household Maintenance,2.3,2.09,2.81,-0.21,0.72
Health,2.48,3.84,3.19,1.35,-0.65
Transport,6.11,5.51,6.61,-0.6,1.11
Information And Communication,1.42,3.17,2.95,1.74,-0.22
"Recreation, Sport And Culture",0.88,0.48,0.98,-0.4,0.5
Education,2.33,1.18,2.93,-1.15,1.76
Hotels (accommodation Services),0.1,0.02,0.1,-0.08,0.09
Insurance And Financial Services,0.0,2.97,3.13,2.97,0.16
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.63,4.86,3.98,-1.78,-0.87
Durable Furniture And Equipment,3.59,4.41,2.83,0.82,-1.58
Special Family Occasion,2.38,2.17,2.5,-0.21,0.33
Other Expenditures,2.01,2.18,2.25,0.17,0.07
Marinduque,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.23,47.95,46.97,5.71,-0.98
Food Consumed At Home,36.35,46.76,41.44,10.41,-5.32
Food Regularly Consumed Outside The Home,5.88,1.18,5.51,-4.71,4.33
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.01
Alcoholic Beverages And Tobacco,1.42,1.69,1.72,0.27,0.03
Clothing And Footwear,3.03,1.73,1.71,-1.3,-0.02
"Housing, Water, Electricity, Gas And Other Fuels",17.34,18.33,17.16,0.99,-1.17
Furnishings And Routine Household Maintenance,2.56,2.55,2.67,0.0,0.12
Health,2.95,3.27,3.21,0.33,-0.07
Transport,6.23,4.94,6.25,-1.29,1.32
Information And Communication,1.35,3.08,3.19,1.72,0.12
"Recreation, Sport And Culture",1.09,0.43,0.68,-0.66,0.25
Education,2.44,1.1,1.99,-1.34,0.89
Hotels (accommodation Services),0.15,0.04,0.2,-0.1,0.16
Insurance And Financial Services,0.0,3.07,3.16,3.07,0.09
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.36,4.64,3.76,-2.72,-0.87
Durable Furniture And Equipment,5.75,3.35,3.05,-2.4,-0.29
Special Family Occasion,2.98,2.09,2.25,-0.89,0.16
Other Expenditures,3.13,1.75,2.01,-1.38,0.26
Occidental Mindoro,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.52,43.2,45.13,-4.32,1.93
Food Consumed At Home,42.68,42.44,41.94,-0.24,-0.5
Food Regularly Consumed Outside The Home,4.84,0.76,3.18,-4.08,2.42
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.01,0.0,0.01
Alcoholic Beverages And Tobacco,1.88,2.72,1.73,0.84,-0.99
Clothing And Footwear,3.5,2.6,2.58,-0.9,-0.02
"Housing, Water, Electricity, Gas And Other Fuels",13.78,19.05,18.03,5.27,-1.02
Furnishings And Routine Household Maintenance,2.45,2.43,2.7,-0.03,0.28
Health,2.23,3.37,2.99,1.14,-0.38
Transport,5.34,5.12,6.23,-0.22,1.11
Information And Communication,1.18,3.02,2.84,1.84,-0.19
"Recreation, Sport And Culture",0.76,0.38,0.73,-0.37,0.34
Education,2.69,1.18,2.49,-1.51,1.31
Hotels (accommodation Services),0.18,0.04,0.12,-0.13,0.07
Insurance And Financial Services,0.0,3.07,2.98,3.07,-0.09
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.15,5.35,4.16,-1.79,-1.19
Durable Furniture And Equipment,5.08,3.57,2.65,-1.51,-0.93
Special Family Occasion,2.79,2.68,2.38,-0.11,-0.3
Other Expenditures,3.46,2.22,2.29,-1.25,0.07
Oriental Mindoro,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.91,38.64,36.81,-8.27,-1.83
Food Consumed At Home,41.39,37.56,34.7,-3.83,-2.87
Food Regularly Consumed Outside The Home,5.52,1.07,2.11,-4.45,1.05
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.97,1.8,2.36,-0.18,0.57
Clothing And Footwear,2.83,2.38,2.31,-0.45,-0.07
